Lat,Lon,Date
46.4995,-114.0256,2021-03-17
46.951,-113.9464,2021-03-18
46.8291,-113.9319,2021-04-02
46.8309,-113.945,2021-04-02
46.0707,-114.2209,2021-04-04
47.2889,-114.3237,2021-04-06
47.285,-114.3236,2021-04-06
47.4853,-113.6649,2021-04-07
47.4001,-114.7327,2021-04-07
47.6617,-114.1319,2021-04-07
47.476,-113.6684,2021-04-07
47.3978,-114.7194,2021-04-07
47.6642,-114.1461,2021-04-07
46.1244,-114.1661,2021-04-07
46.1337,-114.1626,2021-04-07
47.2154,-114.1469,2021-04-07
47.3829,-115.0749,2021-04-15
46.5871,-114.1219,2021-04-16
47.5165,-114.1052,2021-04-16
46.5961,-114.1189,2021-04-16
45.9336,-114.1701,2021-04-16
47.3819,-115.0747,2021-04-17
47.3773,-115.0804,2021-04-17
46.917,-113.7436,2021-04-17
47.0589,-113.271,2021-04-17
46.9747,-113.5616,2021-04-17
46.9685,-113.5558,2021-04-17
46.9082,-113.7317,2021-04-17
47.4118,-115.0901,2021-04-18
46.0753,-114.2298,2021-04-18
46.0479,-114.2297,2021-04-18
47.3807,-115.0696,2021-04-18
47.3825,-115.0844,2021-04-18
46.7052,-115.0949,2021-04-18
46.0735,-114.2169,2021-04-18
45.8867,-114.2001,2021-04-18
47.3898,-115.0664,2021-04-18
46.892,-114.5061,2021-04-18
46.0454,-114.2305,2021-04-18
46.8949,-114.4906,2021-04-18
46.8823,-114.5018,2021-04-18
46.8852,-114.4862,2021-04-18
47.3887,-115.0891,2021-04-18
47.5841,-114.1294,2021-04-21
47.3917,-115.0732,2021-04-29
47.3944,-115.0792,2021-04-29
47.3935,-115.0954,2021-04-29
47.0755,-113.1033,2021-04-29
46.8366,-113.9401,2021-04-29
46.0492,-114.228,2021-04-30
46.0365,-114.2263,2021-05-04
47.1457,-114.5135,2021-05-05
47.0029,-113.7217,2021-05-06
47.1337,-114.4278,2021-05-06
46.5237,-113.8848,2021-05-06
46.9875,-113.713,2021-05-06
45.8877,-114.2087,2021-05-13
47.1321,-115.0505,2021-05-13
45.8862,-114.2059,2021-05-13
47.141,-113.4333,2021-05-17
47.1412,-113.4652,2021-05-17
47.1364,-113.4537,2021-05-17
47.1465,-113.4488,2021-05-17
45.8266,-114.2655,2021-05-18
46.5972,-113.7829,2021-06-19
47.3344,-114.345,2021-06-21
46.4734,-114.5196,2021-07-08
46.4718,-114.5328,2021-07-08
47.1282,-114.6556,2021-07-08
47.3615,-114.6869,2021-07-08
47.1206,-114.6389,2021-07-08
47.1299,-114.6418,2021-07-08
47.1265,-114.6574,2021-07-08
46.4749,-114.527,2021-07-08
46.4741,-114.5315,2021-07-08
46.4702,-114.5177,2021-07-08
46.4687,-114.5343,2021-07-08
46.61,-113.577,2021-07-08
46.4715,-114.5134,2021-07-09
47.1328,-114.658,2021-07-09
46.4735,-114.5317,2021-07-09
47.1247,-114.6483,2021-07-09
47.1267,-114.668,2021-07-09
47.1178,-114.6617,2021-07-09
46.4779,-114.5214,2021-07-09
46.4668,-114.515,2021-07-09
46.4609,-114.5416,2021-07-09
46.472,-114.5481,2021-07-09
46.4724,-114.5105,2021-07-09
47.124,-114.6691,2021-07-09
46.4666,-114.5371,2021-07-09
46.4697,-114.5405,2021-07-10
46.6465,-114.6617,2021-07-10
46.4735,-114.5147,2021-07-10
46.4716,-114.5275,2021-07-10
47.1286,-114.6621,2021-07-10
46.6377,-114.6589,2021-07-10
46.6358,-114.6717,2021-07-10
46.4714,-114.5338,2021-07-10
46.6434,-114.6541,2021-07-10
46.4695,-114.5199,2021-07-10
46.4783,-114.5339,2021-07-10
46.4647,-114.5222,2021-07-10
46.4678,-114.5378,2021-07-10
46.4751,-114.518,2021-07-10
46.478,-114.5108,2021-07-10
46.4715,-114.5,2021-07-10
46.4645,-114.523,2021-07-10
46.6422,-114.6526,2021-07-10
46.4755,-114.5112,2021-07-10
46.6074,-114.7031,2021-07-10
