year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm
2020,12,31,18,0.174869,0.027000,0.027000,0.027000
2020,12,31,19,0.241084,0.027000,0.027000,0.027000
2020,12,31,20,0.267106,0.027002,0.027000,0.027000
2020,12,31,21,0.283177,0.027014,0.027000,0.027000
2020,12,31,22,0.291163,0.027073,0.027000,0.027000
2020,12,31,23,0.290366,0.027382,0.027000,0.027000
2021,1,1,0,0.290860,0.028540,0.027000,0.027000
2021,1,1,1,0.294068,0.032636,0.027000,0.027000
2021,1,1,2,0.291432,0.043771,0.027000,0.027000
2021,1,1,3,0.290778,0.062116,0.027000,0.027000
2021,1,1,4,0.292639,0.083112,0.027000,0.027000
2021,1,1,5,0.290808,0.100707,0.027000,0.027000
2021,1,1,6,0.290190,0.113958,0.027000,0.027000
2021,1,1,7,0.287029,0.123466,0.027000,0.027000
2021,1,1,8,0.284963,0.130760,0.027000,0.027000
2021,1,1,9,0.280121,0.136697,0.027000,0.027000
2021,1,1,10,0.273316,0.141848,0.027000,0.027000
2021,1,1,11,0.455189,0.146933,0.027000,0.027000
2021,1,1,12,0.382716,0.149440,0.027000,0.027000
2021,1,1,13,0.285830,0.152016,0.027000,0.027000
2021,1,1,14,0.228170,0.149003,0.027001,0.027000
2021,1,1,15,0.193146,0.152490,0.027001,0.027000
2021,1,1,16,0.174633,0.154452,0.027002,0.027000
2021,1,1,17,0.170168,0.155889,0.027003,0.027000
2021,1,1,18,0.182905,0.156885,0.027003,0.027000
2021,1,1,19,0.192512,0.156678,0.027004,0.027000
2021,1,1,20,0.199033,0.156542,0.027005,0.027000
2021,1,1,21,0.206246,0.156354,0.027006,0.027000
2021,1,1,22,0.203389,0.155924,0.027006,0.027000
2021,1,1,23,0.195476,0.156431,0.027008,0.027000
2021,1,2,0,0.188995,0.157563,0.027009,0.027000
2021,1,2,1,0.189524,0.158529,0.027010,0.027000
2021,1,2,2,0.192935,0.159418,0.027012,0.027000
2021,1,2,3,0.193261,0.160341,0.027013,0.027000
2021,1,2,4,0.197732,0.161259,0.027015,0.027000
2021,1,2,5,0.206010,0.162166,0.027017,0.027000
2021,1,2,6,0.207204,0.163184,0.027019,0.027000
2021,1,2,7,0.201783,0.164303,0.027021,0.027000
2021,1,2,8,0.199706,0.165338,0.027023,0.027000
2021,1,2,9,0.196509,0.166347,0.027026,0.027000
2021,1,2,10,0.192406,0.165690,0.027029,0.027000
2021,1,2,11,0.180361,0.164673,0.027034,0.027000
2021,1,2,12,0.161631,0.165418,0.027039,0.027000
2021,1,2,13,0.149310,0.162845,0.027047,0.027000
2021,1,2,14,0.144242,0.159498,0.027056,0.027000
2021,1,2,15,0.142207,0.156373,0.027067,0.027000
2021,1,2,16,0.144878,0.153844,0.027078,0.027000
2021,1,2,17,0.151738,0.151898,0.027089,0.027000
2021,1,2,18,0.160435,0.150688,0.027099,0.027000
2021,1,2,19,0.171225,0.151716,0.027107,0.027000
2021,1,2,20,0.186897,0.152398,0.027115,0.027000
2021,1,2,21,0.198649,0.152562,0.027122,0.027000
2021,1,2,22,0.203679,0.152285,0.027130,0.027000
2021,1,2,23,0.208024,0.151605,0.027138,0.027000
2021,1,3,0,0.207677,0.151861,0.027146,0.027000
2021,1,3,1,0.198094,0.153406,0.027156,0.027000
2021,1,3,2,0.181789,0.155093,0.027167,0.027000
2021,1,3,3,0.168712,0.155103,0.027181,0.027000
2021,1,3,4,0.160743,0.155587,0.027195,0.027000
2021,1,3,5,0.157863,0.156829,0.027211,0.027000
2021,1,3,6,0.159148,0.156856,0.027226,0.027000
2021,1,3,7,0.163905,0.156992,0.027241,0.027000
2021,1,3,8,0.175546,0.157306,0.027255,0.027000
2021,1,3,9,0.187553,0.157925,0.027271,0.027000
2021,1,3,10,0.193486,0.158823,0.027288,0.027000
2021,1,3,11,0.200656,0.159825,0.027308,0.027000
2021,1,3,12,0.492054,0.161399,0.027316,0.027000
2021,1,3,13,0.351710,0.167874,0.027338,0.027000
2021,1,3,14,0.244442,0.173448,0.027366,0.027000
2021,1,3,15,0.190288,0.174621,0.027402,0.027000
2021,1,3,16,0.163640,0.177058,0.027438,0.027000
2021,1,3,17,0.152524,0.173520,0.027473,0.027000
2021,1,3,18,0.150885,0.170658,0.027504,0.027000
2021,1,3,19,0.157927,0.168311,0.027533,0.027000
2021,1,3,20,0.160748,0.166225,0.027559,0.027000
2021,1,3,21,0.153913,0.164341,0.027589,0.027000
2021,1,3,22,0.152390,0.162819,0.027621,0.027000
2021,1,3,23,0.160160,0.161645,0.027650,0.027000
2021,1,4,0,0.162646,0.160716,0.027680,0.027000
2021,1,4,1,0.170034,0.160753,0.027709,0.027000
2021,1,4,2,0.181429,0.161127,0.027736,0.027000
2021,1,4,3,0.190498,0.160924,0.027763,0.027000
2021,1,4,4,0.193075,0.161169,0.027789,0.027000
2021,1,4,5,0.194070,0.160735,0.027817,0.027000
2021,1,4,6,0.194529,0.160903,0.027844,0.027000
2021,1,4,7,0.191389,0.160653,0.027873,0.027000
2021,1,4,8,0.188995,0.160418,0.027903,0.027000
2021,1,4,9,0.182143,0.160285,0.027937,0.027000
2021,1,4,10,0.172578,0.160208,0.027974,0.027000
2021,1,4,11,0.159957,0.159397,0.028017,0.027000
2021,1,4,12,0.149876,0.157768,0.028064,0.027000
2021,1,4,13,0.140649,0.155361,0.028117,0.027000
2021,1,4,14,0.133732,0.152582,0.028177,0.027000
2021,1,4,15,0.133036,0.149818,0.028245,0.027000
2021,1,4,16,0.142207,0.147436,0.028313,0.027000
2021,1,4,17,0.141901,0.145534,0.028381,0.027000
2021,1,4,18,0.145768,0.144840,0.028445,0.027000
2021,1,4,19,0.160694,0.145238,0.028497,0.027000
2021,1,4,20,0.173558,0.145810,0.028544,0.027000
2021,1,4,21,0.180236,0.145854,0.028590,0.027000
2021,1,4,22,0.460899,0.145553,0.028608,0.027000
2021,1,4,23,0.384659,0.148800,0.028628,0.027000
2021,1,5,0,0.305485,0.160289,0.028667,0.027000
2021,1,5,1,0.247244,0.169076,0.028723,0.027000
2021,1,5,2,0.214645,0.172495,0.028780,0.027000
2021,1,5,3,0.196394,0.174297,0.028836,0.027000
2021,1,5,4,0.187080,0.171603,0.028892,0.027000
2021,1,5,5,0.180294,0.171603,0.028950,0.027000
2021,1,5,6,0.175821,0.171724,0.029008,0.027000
2021,1,5,7,0.172447,0.171601,0.029067,0.027000
2021,1,5,8,0.171247,0.172011,0.029126,0.027000
2021,1,5,9,0.169786,0.172593,0.029190,0.027000
2021,1,5,10,0.168749,0.171701,0.029260,0.027000
2021,1,5,11,0.173863,0.170400,0.029335,0.027000
2021,1,5,12,0.162740,0.168210,0.029417,0.027000
2021,1,5,13,0.144729,0.164441,0.027770,0.027000
2021,1,5,14,0.133060,0.160270,0.029554,0.027000
2021,1,5,15,0.125314,0.156287,0.029668,0.027000
2021,1,5,16,0.123787,0.152974,0.029782,0.027000
2021,1,5,17,0.132576,0.150360,0.029891,0.027000
2021,1,5,18,0.149284,0.148352,0.029985,0.027000
2021,1,5,19,0.164180,0.147833,0.030062,0.027000
2021,1,5,20,0.177159,0.148970,0.030132,0.027000
2021,1,5,21,0.186229,0.147860,0.030198,0.027000
2021,1,5,22,0.189768,0.149010,0.030263,0.027000
2021,1,5,23,0.191819,0.148059,0.030329,0.027000
2021,1,6,0,0.195839,0.148455,0.030394,0.027000
2021,1,6,1,0.196315,0.148294,0.030460,0.027000
2021,1,6,2,0.195346,0.147614,0.030529,0.027000
2021,1,6,3,0.187604,0.147473,0.030603,0.027000
2021,1,6,4,0.178006,0.148425,0.030684,0.027000
2021,1,6,5,0.171366,0.149145,0.030767,0.027000
2021,1,6,6,0.172058,0.149602,0.030848,0.027000
2021,1,6,7,0.178891,0.149938,0.030926,0.027000
2021,1,6,8,0.180729,0.150277,0.031003,0.027000
2021,1,6,9,0.183305,0.149815,0.031081,0.027000
2021,1,6,10,0.184252,0.149547,0.031163,0.027000
2021,1,6,11,0.179386,0.149504,0.031251,0.027000
2021,1,6,12,0.166876,0.149717,0.031348,0.027000
2021,1,6,13,0.151520,0.148816,0.028598,0.027000
