year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm
2020,12,31,18,0.236788,0.053842,0.037110,0.035414
2020,12,31,19,0.265218,0.068366,0.035868,0.036942
2020,12,31,20,0.279347,0.085531,0.037310,0.036640
2020,12,31,21,0.293546,0.103663,0.037354,0.035844
2020,12,31,22,0.291900,0.120635,0.037953,0.035893
2020,12,31,23,0.288655,0.134407,0.037934,0.035686
2021,1,1,0,0.295952,0.146319,0.038933,0.036481
2021,1,1,1,0.292930,0.154868,0.038974,0.036240
2021,1,1,2,0.289147,0.160466,0.039302,0.036020
2021,1,1,3,0.294451,0.165715,0.040013,0.036336
2021,1,1,4,0.290459,0.168965,0.039972,0.035977
2021,1,1,5,0.291347,0.171939,0.040523,0.036098
2021,1,1,6,0.287818,0.173846,0.040654,0.035911
2021,1,1,7,0.285172,0.176032,0.041204,0.036075
2021,1,1,8,0.283463,0.177641,0.041420,0.035961
2021,1,1,9,0.275145,0.174696,0.040197,0.034326
2021,1,1,10,0.267525,0.170124,0.039278,0.033019
2021,1,1,11,0.556063,0.226889,0.044066,0.035616
2021,1,1,12,0.322096,0.180683,0.037448,0.030208
2021,1,1,13,0.250545,0.160094,0.036531,0.029121
2021,1,1,14,0.204210,0.151101,0.037667,0.030219
2021,1,1,15,0.178090,0.146438,0.038224,0.030678
2021,1,1,16,0.166373,0.144632,0.038900,0.031306
2021,1,1,17,0.177982,0.148248,0.040880,0.033484
2021,1,1,18,0.192265,0.152440,0.042513,0.034085
2021,1,1,19,0.195177,0.156178,0.042785,0.035016
2021,1,1,20,0.208524,0.160302,0.043633,0.035592
2021,1,1,21,0.206723,0.162833,0.043659,0.035279
2021,1,1,22,0.198537,0.163952,0.043609,0.034846
2021,1,1,23,0.189419,0.164006,0.043617,0.034460
2021,1,2,0,0.186765,0.164677,0.044216,0.034790
2021,1,2,1,0.193886,0.166295,0.044916,0.035237
2021,1,2,2,0.193216,0.167141,0.045034,0.035036
2021,1,2,3,0.194480,0.168246,0.045533,0.035246
2021,1,2,4,0.204593,0.169927,0.046150,0.035599
2021,1,2,5,0.211104,0.171661,0.046608,0.035774
2021,1,2,6,0.202875,0.171668,0.046376,0.035175
2021,1,2,7,0.199858,0.172203,0.046938,0.035416
2021,1,2,8,0.197851,0.172839,0.047248,0.035437
2021,1,2,9,0.194363,0.170408,0.046647,0.034333
2021,1,2,10,0.187914,0.166412,0.046225,0.033522
2021,1,2,11,0.168791,0.155541,0.044625,0.031062
2021,1,2,12,0.150796,0.144338,0.044072,0.030334
2021,1,2,13,0.144445,0.141056,0.044948,0.031175
2021,1,2,14,0.141210,0.138572,0.045173,0.031400
2021,1,2,15,0.142672,0.138469,0.045831,0.032045
2021,1,2,16,0.149042,0.139885,0.046527,0.032760
2021,1,2,17,0.158743,0.142191,0.047366,0.033637
2021,1,2,18,0.166360,0.145127,0.048560,0.034096
2021,1,2,19,0.182824,0.149399,0.049467,0.035589
2021,1,2,20,0.198622,0.153799,0.050195,0.036124
2021,1,2,21,0.202854,0.157274,0.050485,0.036092
2021,1,2,22,0.207810,0.160122,0.050863,0.036154
2021,1,2,23,0.210126,0.162488,0.051232,0.036208
2021,1,3,0,0.204251,0.163681,0.051246,0.035869
2021,1,3,1,0.187854,0.162420,0.050739,0.034869
2021,1,3,2,0.171772,0.159818,0.050699,0.034371
2021,1,3,3,0.161767,0.157953,0.050973,0.034376
