year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm
2021,7,31,19,0.035410,0.007657,0.004382,0.004313
2021,7,31,20,0.051084,0.011156,0.004658,0.004496
2021,7,31,21,0.061544,0.014997,0.004973,0.004680
2021,7,31,22,0.070283,0.019306,0.005423,0.004996
2021,7,31,23,0.079987,0.024016,0.005949,0.005393
2021,8,1,0,0.092534,0.029456,0.006707,0.005987
2021,8,1,1,0.101087,0.035002,0.007166,0.006259
2021,8,1,2,0.109713,0.041189,0.007883,0.006816
2021,8,1,3,0.113287,0.047292,0.008124,0.006813
2021,8,1,4,0.114113,0.053471,0.008430,0.006881
2021,8,1,5,0.113948,0.059564,0.008620,0.006829
2021,8,1,6,0.115060,0.065722,0.009029,0.007022
2021,8,1,7,0.122672,0.072065,0.009463,0.007222
2021,8,1,8,0.124531,0.077778,0.009100,0.006509
2021,8,1,9,0.122762,0.082778,0.008876,0.005988
2021,8,1,10,0.117588,0.086340,0.008466,0.005290
2021,8,1,11,0.108017,0.086829,0.008207,0.004824
2021,8,1,12,0.092234,0.082878,0.008055,0.004586
2021,8,1,13,0.076534,0.076934,0.008043,0.004534
2021,8,1,14,0.065454,0.071211,0.008055,0.004529
2021,8,1,15,0.058205,0.066101,0.008068,0.004527
2021,8,1,16,0.054358,0.062129,0.008111,0.004550
2021,8,1,17,0.054971,0.060457,0.008243,0.004658
2021,8,1,18,0.078789,0.062418,0.008873,0.005223
2021,8,1,19,0.124411,0.068890,0.011855,0.008134
2021,8,1,20,0.591842,0.161030,0.016249,0.010439
2021,8,1,21,0.306251,0.193869,0.017370,0.010484
2021,8,1,22,0.281618,0.217915,0.018411,0.010530
2021,8,1,23,0.592403,0.316970,0.024693,0.013249
2021,8,2,0,0.592403,0.396384,0.027979,0.013383
2021,8,2,1,0.592403,0.449963,0.030902,0.013520
2021,8,2,2,0.599782,0.498839,0.039624,0.016569
2021,8,2,3,0.599782,0.498839,0.045689,0.016885
2021,8,2,4,0.599782,0.498839,0.051482,0.017196
2021,8,2,5,0.599782,0.498839,0.056705,0.017517
2021,8,2,6,0.599782,0.498839,0.061473,0.017808
2021,8,2,7,0.599782,0.498839,0.065972,0.018110
2021,8,2,8,0.599782,0.498839,0.070378,0.018452
2021,8,2,9,0.301970,0.427118,0.072010,0.011733
2021,8,2,10,0.251888,0.374045,0.075085,0.010404
2021,8,2,11,0.220177,0.340373,0.077833,0.010780
2021,8,2,12,0.593240,0.405936,0.086024,0.013149
2021,8,2,13,0.599865,0.459694,0.092592,0.014383
2021,8,2,14,0.295838,0.384473,0.090581,0.010380
2021,8,2,15,0.239788,0.339783,0.089948,0.009571
2021,8,2,16,0.197509,0.299287,0.090117,0.009416
2021,8,2,17,0.166815,0.265355,0.090637,0.009403
2021,8,2,18,0.146399,0.239639,0.092440,0.009613
2021,8,2,19,0.136394,0.221058,0.094583,0.009940
2021,8,2,20,0.141731,0.210801,0.096169,0.011375
2021,8,2,21,0.154440,0.207932,0.097635,0.012740
2021,8,2,22,0.166473,0.208854,0.098895,0.014160
2021,8,2,23,0.176264,0.212317,0.099984,0.016659
2021,8,3,0,0.190184,0.218555,0.100961,0.019486
2021,8,3,1,0.205445,0.224638,0.101769,0.019823
2021,8,3,2,0.218610,0.230459,0.102503,0.020164
2021,8,3,3,0.232302,0.234307,0.103183,0.020458
2021,8,3,4,0.255940,0.236859,0.103814,0.020732
2021,8,3,5,0.292339,0.238651,0.104409,0.021016
2021,8,3,6,0.307333,0.239923,0.104972,0.021265
2021,8,3,7,0.309798,0.240850,0.105517,0.021509
2021,8,3,8,0.305116,0.241563,0.106066,0.021787
2021,8,3,9,0.265588,0.236999,0.106414,0.014608
2021,8,3,10,0.219229,0.221617,0.105596,0.013769
2021,8,3,11,0.181036,0.203232,0.103916,0.013446
2021,8,3,12,0.150922,0.184388,0.102146,0.013318
2021,8,3,13,0.125673,0.165948,0.100233,0.013230
2021,8,3,14,0.104375,0.148468,0.098481,0.013183
2021,8,3,15,0.088367,0.133122,0.097124,0.013181
2021,8,3,16,0.077221,0.120567,0.096204,0.013189
2021,8,3,17,0.070004,0.111045,0.095960,0.013231
2021,8,3,18,0.065756,0.103727,0.095500,0.013242
2021,8,3,19,0.064989,0.099104,0.096166,0.013360
2021,8,3,20,0.072627,0.097771,0.097181,0.013627
2021,8,3,21,0.090422,0.098780,0.097618,0.014123
2021,8,3,22,0.109318,0.101210,0.098031,0.014736
2021,8,3,23,0.125806,0.104798,0.098520,0.015554
2021,8,4,0,0.138949,0.109532,0.098987,0.016120
2021,8,4,1,0.149693,0.114990,0.099499,0.016626
2021,8,4,2,0.157464,0.120921,0.099982,0.017024
2021,8,4,3,0.165339,0.127418,0.100677,0.017624
2021,8,4,4,0.173854,0.134783,0.101106,0.017695
2021,8,4,5,0.174854,0.141799,0.101497,0.017751
2021,8,4,6,0.170701,0.147324,0.101634,0.017072
2021,8,4,7,0.170291,0.151698,0.101738,0.016760
2021,8,4,8,0.169690,0.154706,0.101593,0.015848
2021,8,4,9,0.159646,0.152346,0.101302,0.014520
2021,8,4,10,0.140329,0.144528,0.099245,0.013977
2021,8,4,11,0.117760,0.133775,0.096486,0.013742
2021,8,4,12,0.097109,0.122352,0.094174,0.013677
2021,8,4,13,0.080498,0.111408,0.092152,0.013224
2021,8,4,14,0.067909,0.101027,0.089981,0.012597
2021,8,4,15,0.057640,0.091664,0.088041,0.012461
2021,8,4,16,0.049967,0.083850,0.086558,0.012604
2021,8,4,17,0.046279,0.077941,0.085746,0.013462
2021,8,4,18,0.046468,0.074002,0.085527,0.013503
2021,8,4,19,0.051507,0.072300,0.086115,0.013607
2021,8,4,20,0.057749,0.072283,0.086795,0.013785
2021,8,4,21,0.063882,0.072856,0.086994,0.013952
2021,8,4,22,0.072399,0.074148,0.087201,0.014208
2021,8,4,23,0.084935,0.076359,0.087475,0.014616
2021,8,5,0,0.099715,0.079591,0.087794,0.015075
2021,8,5,1,0.114909,0.083652,0.088170,0.015598
2021,8,5,2,0.123358,0.087811,0.088393,0.015750
2021,8,5,3,0.130158,0.092390,0.088706,0.016049
2021,8,5,4,0.138841,0.097525,0.089074,0.016429
2021,8,5,5,0.150029,0.103352,0.089547,0.016966
2021,8,5,6,0.157017,0.109314,0.089870,0.017135
2021,8,5,7,0.162190,0.114464,0.089861,0.016697
2021,8,5,8,0.163288,0.118775,0.089707,0.015929
2021,8,5,9,0.156052,0.120707,0.089367,0.014790
2021,8,5,10,0.142633,0.120135,0.089285,0.014487
2021,8,5,11,0.128387,0.116955,0.088663,0.014152
2021,8,5,12,0.112133,0.110471,0.086055,0.013890
2021,8,5,13,0.098311,0.103654,0.084798,0.013855
2021,8,5,14,0.085608,0.096701,0.083195,0.013815
2021,8,5,15,0.075723,0.091459,0.083081,0.013886
2021,8,5,16,0.075402,0.090558,0.084375,0.014245
2021,8,5,17,0.086856,0.091559,0.084651,0.014643
2021,8,5,18,0.092266,0.092613,0.084786,0.014702
2021,8,5,19,0.090936,0.092975,0.084774,0.014488
2021,8,5,20,0.089574,0.093303,0.084846,0.014539
2021,8,5,21,0.100703,0.095137,0.085176,0.015130
2021,8,5,22,0.120739,0.098826,0.085742,0.015952
2021,8,5,23,0.133937,0.103432,0.086121,0.016617
2021,8,6,0,0.143231,0.108531,0.086567,0.017067
2021,8,6,1,0.143080,0.112912,0.086592,0.016676
2021,8,6,2,0.141628,0.117173,0.086891,0.016858
2021,8,6,3,0.152987,0.122581,0.087604,0.017719
2021,8,6,4,0.170475,0.129521,0.088492,0.018851
2021,8,6,5,0.181972,0.137382,0.088937,0.019185
2021,8,6,6,0.187800,0.145588,0.089397,0.017599
2021,8,6,7,0.190160,0.151403,0.089372,0.016788
2021,8,6,8,0.188881,0.155514,0.089004,0.016647
2021,8,6,9,0.171628,0.152977,0.088475,0.015254
2021,8,6,10,0.147365,0.145460,0.087440,0.014728
2021,8,6,11,0.126960,0.135944,0.085697,0.014536
2021,8,6,12,0.109876,0.125460,0.083635,0.014440
2021,8,6,13,0.096072,0.115475,0.082133,0.014415
2021,8,6,14,0.085668,0.107856,0.082006,0.014500
2021,8,6,15,0.075653,0.099427,0.079398,0.013987
2021,8,6,16,0.068198,0.091631,0.078105,0.014033
2021,8,6,17,0.065041,0.086262,0.077741,0.014394
2021,8,6,18,0.066022,0.083068,0.078114,0.014475
2021,8,6,19,0.072070,0.082567,0.079058,0.014706
2021,8,6,20,0.082498,0.083544,0.079374,0.015106
2021,8,6,21,0.094375,0.085522,0.079716,0.015524
2021,8,6,22,0.110207,0.088766,0.080246,0.016135
2021,8,6,23,0.125358,0.092974,0.080703,0.016882
2021,8,7,0,0.134894,0.097502,0.081049,0.017144
2021,8,7,1,0.142202,0.102456,0.081421,0.017437
2021,8,7,2,0.148217,0.107678,0.081778,0.017687
2021,8,7,3,0.155130,0.113255,0.082213,0.018006
2021,8,7,4,0.164308,0.119450,0.082792,0.018493
2021,8,7,5,0.172165,0.126072,0.083295,0.018873
2021,8,7,6,0.182209,0.133429,0.084123,0.019549
2021,8,7,7,0.187936,0.139166,0.083771,0.018372
2021,8,7,8,0.185453,0.143380,0.083381,0.017357
2021,8,7,9,0.165927,0.140663,0.082672,0.015465
2021,8,7,10,0.140966,0.134247,0.082032,0.015156
2021,8,7,11,0.118858,0.125354,0.079838,0.014921
2021,8,7,12,0.099068,0.114874,0.077571,0.014717
2021,8,7,13,0.084107,0.105027,0.075947,0.014271
2021,8,7,14,0.073053,0.096804,0.075017,0.014492
2021,8,7,15,0.064868,0.088888,0.073181,0.013722
2021,8,7,16,0.058576,0.081912,0.072030,0.013687
2021,8,7,17,0.055363,0.077086,0.072008,0.014702
2021,8,7,18,0.054084,0.073192,0.071452,0.014705
2021,8,7,19,0.058570,0.072186,0.072831,0.014888
2021,8,7,20,0.066803,0.072974,0.073170,0.015229
2021,8,7,21,0.077593,0.074655,0.073482,0.015536
2021,8,7,22,0.090030,0.077129,0.073856,0.015879
2021,8,7,23,0.097825,0.079873,0.074090,0.016160
2021,8,8,0,0.109788,0.083538,0.074547,0.016693
2021,8,8,1,0.121945,0.087790,0.074924,0.017067
2021,8,8,2,0.132822,0.092664,0.075369,0.017531
2021,8,8,3,0.140634,0.097836,0.075716,0.017748
2021,8,8,4,0.146158,0.103207,0.076072,0.017966
2021,8,8,5,0.144534,0.107809,0.076062,0.017571
2021,8,8,6,0.141718,0.112236,0.076316,0.017658
2021,8,8,7,0.140613,0.115866,0.076294,0.017267
2021,8,8,8,0.135824,0.118231,0.076024,0.016376
2021,8,8,9,0.132603,0.120476,0.076219,0.016548
2021,8,8,10,0.157879,0.125019,0.077171,0.018031
2021,8,8,11,0.577856,0.218014,0.082870,0.021046
2021,8,8,12,0.598631,0.301224,0.091513,0.026349
2021,8,8,13,0.599920,0.360292,0.097623,0.027537
2021,8,8,14,0.322008,0.327676,0.091162,0.017950
2021,8,8,15,0.254418,0.301735,0.089811,0.016752
2021,8,8,16,0.193786,0.264982,0.084808,0.016115
