,year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip,time,modis,viirs
20,2021,1,1,14,0.20421,0.151101,0.037667,0.030219,0.0,2021-1-1-14,0,0
44,2021,1,2,14,0.14121,0.138572,0.045173,0.0314,0.0,2021-1-2-14,0,0
68,2021,1,3,14,0.211565,0.164869,0.052014,0.031339,0.0,2021-1-3-14,0,0
92,2021,1,4,14,0.12835,0.129619,0.057124,0.032716,0.0,2021-1-4-14,0,0
116,2021,1,5,14,0.124335,0.129125,0.062002,0.03245,0.0,2021-1-5-14,0,0
140,2021,1,6,14,0.133261,0.123671,0.065701,0.033774,0.0,2021-1-6-14,0,1
164,2021,1,7,14,0.24395,0.172295,0.072723,0.036352,0.0,2021-1-7-14,0,0
188,2021,1,8,14,0.161728,0.149974,0.077283,0.03556,0.0,2021-1-8-14,0,0
212,2021,1,9,14,0.187354,0.154773,0.082575,0.03731,0.0,2021-1-9-14,0,0
236,2021,1,10,14,0.182089,0.133843,0.077022,0.036058,0.0,2021-1-10-14,0,0
260,2021,1,11,14,0.171709,0.130183,0.083739,0.036792,0.0,2021-1-11-14,0,0
284,2021,1,12,14,0.573278,0.271649,0.094389,0.043044,0.025399999999999,2021-1-12-14,0,0
308,2021,1,13,14,0.136189,0.227117,0.108358,0.040236,0.0,2021-1-13-14,0,0
332,2021,1,14,14,0.11506,0.126599,0.094975,0.036205,0.0,2021-1-14-14,0,0
356,2021,1,15,14,0.212194,0.137854,0.106079,0.043201,0.0,2021-1-15-14,0,5
380,2021,1,16,14,0.338845,0.2607,0.107896,0.042275,0.0,2021-1-16-14,0,0
404,2021,1,17,14,0.566552,0.322237,0.125948,0.051785,0.2032000000000039,2021-1-17-14,0,0
428,2021,1,18,14,0.211005,0.184049,0.115956,0.043621,0.0,2021-1-18-14,0,0
452,2021,1,19,14,0.177754,0.139813,0.106679,0.040835,0.0,2021-1-19-14,0,0
476,2021,1,20,14,0.121922,0.122569,0.106037,0.042486,0.0,2021-1-20-14,0,0
500,2021,1,21,14,0.172585,0.129627,0.110329,0.046015,0.0,2021-1-21-14,0,0
524,2021,1,22,14,0.237729,0.176498,0.1082,0.045904,0.0,2021-1-22-14,0,0
548,2021,1,23,14,0.174293,0.136754,0.103892,0.045103,0.0,2021-1-23-14,0,0
572,2021,1,24,14,0.169932,0.112379,0.093944,0.038709,0.0,2021-1-24-14,0,0
596,2021,1,25,14,0.153968,0.111875,0.092365,0.041185,0.0,2021-1-25-14,0,0
620,2021,1,26,14,0.145834,0.104453,0.090457,0.038764,0.0,2021-1-26-14,0,0
644,2021,1,27,14,0.157998,0.097788,0.088513,0.038964,0.0,2021-1-27-14,0,0
668,2021,1,28,14,0.154475,0.117058,0.095828,0.046258,0.0,2021-1-28-14,0,0
692,2021,1,29,14,0.349549,0.251022,0.109396,0.049523,0.0,2021-1-29-14,0,0
716,2021,1,30,14,0.162599,0.153785,0.106333,0.049167,0.0,2021-1-30-14,0,0
740,2021,1,31,14,0.116781,0.123224,0.09282,0.04652,0.0,2021-1-31-14,0,0
764,2021,2,1,14,0.133706,0.118455,0.100388,0.049373,0.0,2021-2-1-14,0,0
788,2021,2,2,14,0.595213,0.33942,0.123628,0.059798,0.1269999999999981,2021-2-2-14,0,0
812,2021,2,3,14,0.573003,0.265824,0.124421,0.05518,0.0254000000000019,2021-2-3-14,0,0
836,2021,2,4,14,0.557297,0.230432,0.121327,0.055698,0.0254000000000019,2021-2-4-14,0,0
860,2021,2,5,14,0.328359,0.298829,0.120858,0.052647,0.0,2021-2-5-14,0,0
884,2021,2,6,14,0.357723,0.2926,0.132511,0.056364,0.0,2021-2-6-14,0,0
908,2021,2,7,14,0.172598,0.170985,0.131567,0.050839,0.0,2021-2-7-14,0,0
932,2021,2,8,14,0.198246,0.141703,0.124915,0.056552,0.0,2021-2-8-14,0,0
956,2021,2,9,14,0.19745,0.137239,0.118253,0.056723,0.0,2021-2-9-14,0,0
980,2021,2,10,14,0.584496,0.281285,0.121037,0.06192,0.1016000000000019,2021-2-10-14,0,0
1004,2021,2,11,14,0.14169,0.145872,0.102573,0.049127,0.0,2021-2-11-14,0,0
1028,2021,2,12,14,0.11395,0.136321,0.101997,0.049514,0.0,2021-2-12-14,0,0
1052,2021,2,13,14,0.133871,0.125954,0.100136,0.048612,0.0,2021-2-13-14,0,0
1076,2021,2,14,14,0.146387,0.116344,0.099178,0.048712,0.0,2021-2-14-14,0,0
1100,2021,2,15,14,0.186726,0.115411,0.102866,0.055258,0.0,2021-2-15-14,0,0
1124,2021,2,16,14,0.565904,0.206217,0.116384,0.060062,0.0254000000000019,2021-2-16-14,0,0
1148,2021,2,17,14,0.596073,0.287031,0.12813,0.066461,0.1524000000000001,2021-2-17-14,0,0
1172,2021,2,18,14,0.598708,0.198,0.114317,0.056355,0.0507999999999981,2021-2-18-14,0,0
1196,2021,2,19,14,0.599464,0.282303,0.127865,0.067363,0.0762,2021-2-19-14,0,0
1220,2021,2,20,14,0.155393,0.143564,0.108877,0.05004,0.0,2021-2-20-14,0,0
1244,2021,2,21,14,0.147104,0.129213,0.113354,0.058945,0.0,2021-2-21-14,0,0
1268,2021,2,22,14,0.126542,0.114439,0.108624,0.058316,0.0,2021-2-22-14,0,0
1292,2021,2,23,14,0.200072,0.19527,0.112832,0.0528,0.0,2021-2-23-14,0,0
1316,2021,2,24,14,0.185624,0.16414,0.108706,0.053083,0.0,2021-2-24-14,0,0
1340,2021,2,25,14,0.128178,0.120551,0.103938,0.053415,0.0,2021-2-25-14,0,0
1364,2021,2,26,14,0.278845,0.217282,0.117001,0.065336,0.0,2021-2-26-14,0,0
1388,2021,2,27,14,0.595235,0.369515,0.143125,0.08031,0.1524000000000001,2021-2-27-14,0,0
1412,2021,2,28,14,0.566429,0.222106,0.120169,0.067459,0.0253999999999962,2021-2-28-14,0,0
1436,2021,3,1,14,0.11836,0.129931,0.102269,0.054689,0.0,2021-3-1-14,0,0
1460,2021,3,2,14,0.121814,0.119006,0.103414,0.055119,0.0,2021-3-2-14,0,0
1484,2021,3,3,14,0.105041,0.112796,0.0999,0.055293,0.0,2021-3-3-14,0,0
1508,2021,3,4,14,0.106972,0.110516,0.098612,0.055598,0.0,2021-3-4-14,0,0
1532,2021,3,5,14,0.103287,0.102856,0.097293,0.055868,0.0,2021-3-5-14,0,0
1556,2021,3,6,14,0.137286,0.11869,0.108931,0.068691,0.0,2021-3-6-14,0,0
1580,2021,3,7,14,0.118185,0.10735,0.097117,0.056885,0.0,2021-3-7-14,0,0
1604,2021,3,8,14,0.156438,0.12092,0.105153,0.069053,0.0,2021-3-8-14,0,0
1628,2021,3,9,14,0.244722,0.239757,0.113561,0.063657,0.0,2021-3-9-14,0,1
1652,2021,3,10,14,0.144079,0.153518,0.101197,0.05818,0.0,2021-3-10-14,0,0
1676,2021,3,11,14,0.11136,0.121848,0.09859,0.058373,0.0,2021-3-11-14,0,0
1700,2021,3,12,14,0.101906,0.108277,0.09614,0.058467,0.0,2021-3-12-14,0,0
1724,2021,3,13,14,0.102997,0.10553,0.094488,0.058531,0.0,2021-3-13-14,0,0
1747,2021,3,14,14,0.102204,0.10743,0.09351,0.058651,0.0,2021-3-14-14,0,2
1771,2021,3,15,14,0.118135,0.102253,0.091446,0.058699,0.0,2021-3-15-14,0,0
1795,2021,3,16,14,0.101159,0.094574,0.090252,0.058759,0.0,2021-3-16-14,0,2
1819,2021,3,17,14,0.115624,0.101985,0.089036,0.058901,0.0,2021-3-17-14,1,3
1843,2021,3,18,14,0.099368,0.099607,0.087817,0.058881,0.0,2021-3-18-14,1,5
1867,2021,3,19,14,0.168082,0.143318,0.102772,0.071746,0.0,2021-3-19-14,0,0
1890,2021,3,20,14,0.136223,0.125949,0.091305,0.069983,0.0,2021-3-20-14,0,0
1914,2021,3,21,14,0.136746,0.116841,0.087185,0.060245,0.0,2021-3-21-14,0,0
1938,2021,3,22,14,0.134116,0.113477,0.092021,0.064872,0.0,2021-3-22-14,0,0
1962,2021,3,23,14,0.140596,0.105329,0.084406,0.059893,0.0,2021-3-23-14,0,0
1986,2021,3,24,14,0.124144,0.10716,0.089596,0.070825,0.0,2021-3-24-14,0,0
2010,2021,3,25,14,0.166783,0.160416,0.088309,0.060495,0.0,2021-3-25-14,0,0
2034,2021,3,26,14,0.12342,0.122209,0.08704,0.060519,0.0,2021-3-26-14,0,0
2058,2021,3,27,14,0.102555,0.100367,0.085314,0.060287,0.0,2021-3-27-14,0,0
2082,2021,3,28,14,0.078325,0.092364,0.082537,0.060314,0.0,2021-3-28-14,0,0
2106,2021,3,29,14,0.569458,0.182519,0.091749,0.063728,0.0254000000000019,2021-3-29-14,0,0
2130,2021,3,30,14,0.127831,0.125841,0.085628,0.060975,0.0,2021-3-30-14,0,0
2154,2021,3,31,14,0.091111,0.104619,0.083574,0.060614,0.0,2021-3-31-14,0,0
2178,2021,4,1,14,0.086274,0.095636,0.08187,0.06031,0.0,2021-4-1-14,0,4
2202,2021,4,2,14,0.069094,0.080799,0.07885,0.060103,0.0,2021-4-2-14,2,1
2226,2021,4,3,14,0.085476,0.080387,0.076454,0.059876,0.0,2021-4-3-14,0,2
