,year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip,time,modis,viirs
19,2021,8,1,14,0.065454,0.071211,0.008055,0.004529,0.0,2021-8-1-14,23,74
43,2021,8,2,14,0.295838,0.384473,0.090581,0.01038,0.0,2021-8-2-14,1,14
67,2021,8,3,14,0.104375,0.148468,0.098481,0.013183,0.0,2021-8-3-14,0,19
91,2021,8,4,14,0.067909,0.101027,0.089981,0.012597,0.0,2021-8-4-14,20,0
115,2021,8,5,14,0.085608,0.096701,0.083195,0.013815,0.0,2021-8-5-14,0,8
139,2021,8,6,14,0.085668,0.107856,0.082006,0.0145,0.0,2021-8-6-14,7,16
163,2021,8,7,14,0.073053,0.096804,0.075017,0.014492,0.0,2021-8-7-14,0,16
187,2021,8,8,14,0.322008,0.327676,0.091162,0.01795,0.0,2021-8-8-14,0,11
211,2021,8,9,14,0.105438,0.148132,0.082646,0.016069,0.0,2021-8-9-14,0,0
234,2021,8,10,14,0.10137,0.120561,0.081724,0.017281,0.0,2021-8-10-14,0,0
258,2021,8,11,14,0.065767,0.0839,0.073343,0.016272,0.0,2021-8-11-14,4,3
282,2021,8,12,14,0.066649,0.08224,0.067005,0.016475,0.0,2021-8-12-14,0,26
306,2021,8,13,14,0.062206,0.078195,0.061883,0.016447,0.0,2021-8-13-14,17,48
330,2021,8,14,14,0.075252,0.085147,0.059256,0.017355,0.0,2021-8-14-14,12,87
354,2021,8,15,14,0.06668,0.08435,0.056813,0.017546,0.0,2021-8-15-14,19,94
378,2021,8,16,14,0.0582,0.074686,0.052317,0.016525,0.0,2021-8-16-14,27,137
402,2021,8,17,14,0.100672,0.092206,0.054607,0.019337,0.0,2021-8-17-14,26,147
426,2021,8,18,14,0.322544,0.284199,0.089165,0.022984,0.0,2021-8-18-14,0,0
450,2021,8,19,14,0.137375,0.171376,0.089679,0.021167,0.0,2021-8-19-14,0,1
474,2021,8,20,14,0.11759,0.175337,0.095551,0.023164,0.0,2021-8-20-14,0,1
498,2021,8,21,14,0.139479,0.245756,0.116584,0.026022,0.0,2021-8-21-14,0,0
522,2021,8,22,14,0.110815,0.202489,0.129921,0.025687,0.0,2021-8-22-14,0,0
546,2021,8,23,14,0.090057,0.127382,0.115218,0.02556,0.0,2021-8-23-14,0,0
570,2021,8,24,14,0.087185,0.099084,0.105749,0.024517,0.0,2021-8-24-14,0,0
594,2021,8,25,14,0.091516,0.100859,0.101391,0.027155,0.0,2021-8-25-14,0,0
618,2021,8,26,14,0.114252,0.123948,0.099245,0.029844,0.0,2021-8-26-14,0,2
642,2021,8,27,14,0.214022,0.237117,0.102247,0.031012,0.0,2021-8-27-14,0,1
666,2021,8,28,14,0.112327,0.150048,0.094867,0.02843,0.0,2021-8-28-14,0,1
690,2021,8,29,14,0.093873,0.119123,0.089355,0.028572,0.0,2021-8-29-14,2,7
714,2021,8,30,14,0.083777,0.10329,0.083266,0.028587,0.0,2021-8-30-14,0,5
738,2021,8,31,14,0.066637,0.085489,0.075415,0.026668,0.0,2021-8-31-14,1,3
762,2021,9,1,14,0.081231,0.084232,0.073007,0.026833,0.0,2021-9-1-14,0,2
786,2021,9,2,14,0.08182,0.090158,0.070586,0.026971,0.0,2021-9-2-14,3,10
810,2021,9,3,14,0.082363,0.092546,0.069594,0.028214,0.0,2021-9-3-14,2,14
834,2021,9,4,14,0.0715,0.089528,0.066224,0.027593,0.0,2021-9-4-14,1,14
858,2021,9,5,14,0.071369,0.079026,0.064466,0.028873,0.0,2021-9-5-14,9,27
882,2021,9,6,14,0.074716,0.083341,0.062565,0.029405,0.0,2021-9-6-14,23,124
906,2021,9,7,14,0.078353,0.087064,0.060264,0.029867,0.0,2021-9-7-14,19,74
930,2021,9,8,14,0.073637,0.087534,0.058901,0.030979,0.0,2021-9-8-14,20,105
954,2021,9,9,14,0.101218,0.100423,0.060188,0.03198,0.0,2021-9-9-14,20,88
978,2021,9,10,14,0.08392,0.098959,0.059987,0.031323,0.0,2021-9-10-14,1,56
1002,2021,9,11,14,0.124396,0.142106,0.066383,0.033962,0.0,2021-9-11-14,0,7
1026,2021,9,12,14,0.108145,0.130375,0.065858,0.032625,0.0,2021-9-12-14,0,4
1050,2021,9,13,14,0.111685,0.140344,0.071108,0.034465,0.0,2021-9-13-14,0,1
1074,2021,9,14,14,0.090909,0.108601,0.066324,0.032088,0.0,2021-9-14-14,3,14
1098,2021,9,15,14,0.093795,0.103974,0.070043,0.035098,0.0,2021-9-15-14,2,28
1122,2021,9,16,14,0.066983,0.086809,0.062729,0.03035,0.0,2021-9-16-14,1,3
1169,2021,9,18,14,0.074364,0.079183,0.064682,0.034585,0.0,2021-9-18-14,22,117
1193,2021,9,19,14,0.220341,0.206625,0.072433,0.036144,0.0,2021-9-19-14,6,0
1217,2021,9,20,14,0.193984,0.243814,0.087328,0.0375,0.0,2021-9-20-14,0,0
1241,2021,9,21,14,0.138573,0.180332,0.087406,0.034734,0.0,2021-9-21-14,0,0
1265,2021,9,22,14,0.11062,0.130926,0.086202,0.035089,0.0,2021-9-22-14,0,1
1307,2021,9,24,14,0.101857,0.123993,0.086954,0.035852,0.0,2021-9-24-14,0,1
1331,2021,9,25,14,0.099184,0.11927,0.084688,0.036409,0.0,2021-9-25-14,3,24
1355,2021,9,26,14,0.090266,0.103242,0.081063,0.03659,0.0,2021-9-26-14,9,33
1379,2021,9,27,14,0.079624,0.09734,0.076556,0.035917,0.0,2021-9-27-14,8,58
1403,2021,9,28,14,0.147795,0.125985,0.080997,0.040109,0.0,2021-9-28-14,8,14
1427,2021,9,29,14,0.117,0.127229,0.078612,0.038215,0.0,2021-9-29-14,0,1
1451,2021,9,30,14,0.099486,0.112614,0.074931,0.039476,0.0,2021-9-30-14,3,7
1475,2021,10,1,14,0.102418,0.111784,0.076344,0.037839,0.0,2021-10-1-14,0,9
1499,2021,10,2,14,0.115661,0.124532,0.075685,0.037961,0.0,2021-10-2-14,0,6
1523,2021,10,3,14,0.084809,0.104565,0.072895,0.037128,0.0,2021-10-3-14,2,17
1547,2021,10,4,14,0.081901,0.098225,0.071934,0.038361,0.0,2021-10-4-14,10,32
1571,2021,10,5,14,0.072137,0.085258,0.06825,0.037248,0.0,2021-10-5-14,33,63
1594,2021,10,6,14,0.085067,0.084526,0.067055,0.038223,0.0,2021-10-6-14,9,58
1618,2021,10,7,14,0.128539,0.118232,0.071347,0.041216,0.0,2021-10-7-14,3,12
1642,2021,10,8,14,0.140643,0.132111,0.073835,0.041781,0.0,2021-10-8-14,0,1
1666,2021,10,9,14,0.100547,0.122942,0.068163,0.036738,0.0,2021-10-9-14,2,2
1690,2021,10,10,14,0.101583,0.109209,0.069527,0.037916,0.0,2021-10-10-14,0,0
1714,2021,10,11,14,0.149833,0.125012,0.072742,0.040447,0.0,2021-10-11-14,0,0
1738,2021,10,12,14,0.179167,0.149312,0.070745,0.037637,0.0,2021-10-12-14,0,16
1762,2021,10,13,14,0.137249,0.122346,0.074211,0.041345,0.0,2021-10-13-14,0,1
1786,2021,10,14,14,0.15411,0.1448,0.079598,0.043668,0.0,2021-10-14-14,0,0
1810,2021,10,15,14,0.117783,0.131417,0.081112,0.043967,0.0,2021-10-15-14,0,0
1834,2021,10,16,14,0.094353,0.110499,0.075402,0.039998,0.0,2021-10-16-14,0,1
1858,2021,10,17,14,0.088336,0.099619,0.073495,0.039732,0.0,2021-10-17-14,0,1
1882,2021,10,18,14,0.100993,0.09869,0.072927,0.040199,0.0,2021-10-18-14,0,1
1906,2021,10,19,14,0.09652,0.09542,0.072301,0.040849,0.0,2021-10-19-14,1,9
