,year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip,time,modis,viirs
19,2021,8,1,14,0.067124,0.077902,0.004181,0.004,0.0,2021-8-1-14,23,74
43,2021,8,2,14,0.302257,0.41559,0.008051,0.004,0.0,2021-8-2-14,1,14
67,2021,8,3,14,0.10698,0.159717,0.097231,0.004001,0.0,2021-8-3-14,0,19
91,2021,8,4,14,0.070189,0.111801,0.099712,0.004008,0.0,2021-8-4-14,20,0
115,2021,8,5,14,0.088129,0.105739,0.091129,0.00405,0.0,2021-8-5-14,0,8
139,2021,8,6,14,0.087492,0.117242,0.087543,0.004108,0.0,2021-8-6-14,7,16
163,2021,8,7,14,0.075219,0.107312,0.083127,0.004218,0.0,2021-8-7-14,0,16
187,2021,8,8,14,0.331634,0.308745,0.082412,0.004375,0.0,2021-8-8-14,0,11
211,2021,8,9,14,0.108552,0.163815,0.081328,0.004471,0.0,2021-8-9-14,0,0
234,2021,8,10,14,0.104306,0.132845,0.084112,0.004631,0.0,2021-8-10-14,0,0
258,2021,8,11,14,0.067647,0.093101,0.082136,0.004909,0.0,2021-8-11-14,4,3
282,2021,8,12,14,0.068482,0.091523,0.075311,0.005357,0.0,2021-8-12-14,0,26
306,2021,8,13,14,0.06434,0.087666,0.069696,0.005875,0.0,2021-8-13-14,17,48
330,2021,8,14,14,0.077967,0.094349,0.065043,0.00642,0.0,2021-8-14-14,12,87
354,2021,8,15,14,0.068975,0.093757,0.061766,0.006947,0.0,2021-8-15-14,19,94
378,2021,8,16,14,0.06111,0.084545,0.058727,0.007529,0.0,2021-8-16-14,27,137
402,2021,8,17,14,0.097569,0.092503,0.057299,0.008117,0.0,2021-8-17-14,26,147
426,2021,8,18,14,0.337892,0.293563,0.05891,0.00822,0.0,2021-8-18-14,0,0
450,2021,8,19,14,0.140778,0.189939,0.063724,0.008352,0.0,2021-8-19-14,0,1
474,2021,8,20,14,0.119266,0.189653,0.092315,0.008657,0.0,2021-8-20-14,0,1
498,2021,8,21,14,0.141914,0.271238,0.096444,0.00892,0.0,2021-8-21-14,0,0
522,2021,8,22,14,0.115031,0.222822,0.126097,0.009098,0.0,2021-8-22-14,0,0
546,2021,8,23,14,0.093329,0.143755,0.130956,0.009409,0.0,2021-8-23-14,0,0
570,2021,8,24,14,0.090977,0.113887,0.122379,0.00682,0.0,2021-8-24-14,0,0
594,2021,8,25,14,0.094345,0.113137,0.114523,0.009938,0.0,2021-8-25-14,0,0
618,2021,8,26,14,0.1172,0.135071,0.106973,0.010339,0.0,2021-8-26-14,0,2
642,2021,8,27,14,0.220654,0.25701,0.104906,0.010697,0.0,2021-8-27-14,0,1
666,2021,8,28,14,0.115889,0.166813,0.102909,0.010948,0.0,2021-8-28-14,0,1
690,2021,8,29,14,0.096973,0.133297,0.099634,0.01138,0.0,2021-8-29-14,2,7
714,2021,8,30,14,0.08694,0.116069,0.094061,0.011957,0.0,2021-8-30-14,0,5
738,2021,8,31,14,0.07109,0.100622,0.087961,0.008598,0.0,2021-8-31-14,1,3
762,2021,9,1,14,0.084823,0.097229,0.084558,0.008886,0.0,2021-9-1-14,0,2
786,2021,9,2,14,0.085823,0.103746,0.081745,0.009172,0.0,2021-9-2-14,3,10
810,2021,9,3,14,0.085463,0.105508,0.078998,0.014211,0.0,2021-9-3-14,2,14
834,2021,9,4,14,0.075497,0.10311,0.076187,0.009885,0.0,2021-9-4-14,1,14
858,2021,9,5,14,0.074421,0.089533,0.073131,0.015581,0.0,2021-9-5-14,9,27
882,2021,9,6,14,0.077154,0.092266,0.069559,0.016476,0.0,2021-9-6-14,23,124
906,2021,9,7,14,0.081046,0.096911,0.066553,0.017331,0.0,2021-9-7-14,19,74
930,2021,9,8,14,0.075756,0.097278,0.063805,0.018187,0.0,2021-9-8-14,20,105
954,2021,9,9,14,0.103775,0.107715,0.061666,0.019014,0.0,2021-9-9-14,20,88
978,2021,9,10,14,0.086291,0.108628,0.062067,0.01969,0.0,2021-9-10-14,1,56
1002,2021,9,11,14,0.124273,0.147684,0.062348,0.020262,0.0,2021-9-11-14,0,7
1026,2021,9,12,14,0.111284,0.144831,0.061984,0.02062,0.0,2021-9-12-14,0,4
1050,2021,9,13,14,0.114584,0.153213,0.065719,0.021047,0.0,2021-9-13-14,0,1
1074,2021,9,14,14,0.093934,0.122498,0.066728,0.02152,0.0,2021-9-14-14,3,14
1098,2021,9,15,14,0.094441,0.107917,0.069242,0.022063,0.0,2021-9-15-14,2,28
1122,2021,9,16,14,0.072065,0.1015,0.068406,0.016085,0.0,2021-9-16-14,1,3
1169,2021,9,18,14,0.076791,0.08686,0.068284,0.023266,0.0,2021-9-18-14,22,117
1193,2021,9,19,14,0.230349,0.227152,0.068519,0.023593,0.0,2021-9-19-14,6,0
1217,2021,9,20,14,0.195738,0.270187,0.068483,0.023812,0.0,2021-9-20-14,0,0
1241,2021,9,21,14,0.143324,0.204252,0.071018,0.023962,0.0,2021-9-21-14,0,0
1265,2021,9,22,14,0.114383,0.146942,0.084204,0.02426,0.0,2021-9-22-14,0,1
1307,2021,9,24,14,0.105214,0.139453,0.088997,0.024923,0.0,2021-9-24-14,0,1
1331,2021,9,25,14,0.102673,0.133266,0.090527,0.025305,0.0,2021-9-25-14,3,24
1355,2021,9,26,14,0.093458,0.115266,0.088843,0.025784,0.0,2021-9-26-14,9,33
1379,2021,9,27,14,0.083357,0.11001,0.085527,0.023482,0.0,2021-9-27-14,8,58
1403,2021,9,28,14,0.149114,0.124088,0.083319,0.026751,0.0,2021-9-28-14,8,14
1427,2021,9,29,14,0.120793,0.14189,0.082181,0.026981,0.0,2021-9-29-14,0,1
1451,2021,9,30,14,0.104433,0.128854,0.081592,0.02723,0.0,2021-9-30-14,3,7
1475,2021,10,1,14,0.105629,0.1246,0.081151,0.027573,0.0,2021-10-1-14,0,9
1499,2021,10,2,14,0.119722,0.139701,0.08048,0.027908,0.0,2021-10-2-14,0,6
1523,2021,10,3,14,0.088983,0.118732,0.079763,0.021855,0.0,2021-10-3-14,2,17
1547,2021,10,4,14,0.086333,0.110756,0.078314,0.028716,0.0,2021-10-4-14,10,32
1571,2021,10,5,14,0.076426,0.097009,0.076261,0.022748,0.0,2021-10-5-14,33,63
1594,2021,10,6,14,0.08728,0.093671,0.07398,0.029343,0.0,2021-10-6-14,9,58
1618,2021,10,7,14,0.1315,0.122856,0.072587,0.030038,0.0,2021-10-7-14,3,12
1642,2021,10,8,14,0.143476,0.142596,0.074071,0.030272,0.0,2021-10-8-14,0,1
1666,2021,10,9,14,0.107223,0.142113,0.073853,0.024061,0.0,2021-10-9-14,2,2
1690,2021,10,10,14,0.104126,0.123261,0.07347,0.024344,0.0,2021-10-10-14,0,0
1714,2021,10,11,14,0.153397,0.128405,0.073342,0.031023,0.0,2021-10-11-14,0,0
1738,2021,10,12,14,0.192989,0.169785,0.073605,0.024721,0.0,2021-10-12-14,0,16
1762,2021,10,13,14,0.141579,0.136408,0.074018,0.0313,0.0,2021-10-13-14,0,1
1786,2021,10,14,14,0.161122,0.154858,0.075567,0.03146,0.0,2021-10-14-14,0,0
