year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip
2020,12,31,18,0.197884,0.042501,0.032839,0.031859,0
2020,12,31,19,0.253342,0.05089,0.032121,0.032742,0
2020,12,31,20,0.273581,0.06081,0.032954,0.032567,0
2020,12,31,21,0.288764,0.07132,0.03298,0.032107,0
2020,12,31,22,0.291649,0.0813,0.033325,0.032136,0
2020,12,31,23,0.289422,0.090004,0.033314,0.032016,0
2021,1,1,0,0.293744,0.098779,0.033891,0.032475,0
2021,1,1,1,0.293494,0.1069,0.033915,0.032336,0
2021,1,1,2,0.290195,0.11402,0.034105,0.032209,0
2021,1,1,3,0.292882,0.121186,0.034515,0.032391,0
2021,1,1,4,0.291373,0.127232,0.034491,0.032184,0
2021,1,1,5,0.290989,0.132884,0.03481,0.032254,0
2021,1,1,6,0.288846,0.13777,0.034885,0.032146,0
2021,1,1,7,0.286046,0.142615,0.035203,0.032241,0
2021,1,1,8,0.284154,0.147021,0.035328,0.032175,0
2021,1,1,9,0.277414,0.148675,0.034622,0.031231,0
2021,1,1,10,0.270176,0.149239,0.034091,0.030476,0
2021,1,1,11,0.508112,0.185405,0.036856,0.031976,0.025399999999999
2021,1,1,12,0.350211,0.164311,0.033034,0.028852,0
2021,1,1,13,0.266916,0.157006,0.032505,0.028225,0
2021,1,1,14,0.215235,0.153844,0.033162,0.028859,0
2021,1,1,15,0.185039,0.151572,0.033484,0.029124,0
2021,1,1,16,0.170221,0.150248,0.033876,0.029487,0
2021,1,1,17,0.174725,0.151849,0.035021,0.030745,0
2021,1,1,18,0.187927,0.153861,0.035965,0.031092,0
2021,1,1,19,0.193825,0.155755,0.036123,0.031629,0
2021,1,1,20,0.204282,0.158041,0.036614,0.031962,0
2021,1,1,21,0.206578,0.159572,0.036629,0.031781,0
2021,1,1,22,0.200705,0.16045,0.036602,0.031531,0
2021,1,1,23,0.192184,0.160821,0.036607,0.031308,0
2021,1,2,0,0.187857,0.161565,0.036955,0.031499,0
2021,1,2,1,0.191989,0.162833,0.037361,0.031757,0
2021,1,2,2,0.193129,0.163662,0.03743,0.031641,0
2021,1,2,3,0.193957,0.164663,0.03772,0.031762,0
2021,1,2,4,0.20153,0.166001,0.038078,0.031966,0
2021,1,2,5,0.208714,0.167373,0.038344,0.032067,0
2021,1,2,6,0.204731,0.167793,0.038212,0.031721,0
2021,1,2,7,0.200806,0.168544,0.038539,0.03186,0
2021,1,2,8,0.198692,0.169329,0.038719,0.031872,0
2021,1,2,9,0.195357,0.168343,0.038375,0.031235,0
2021,1,2,10,0.189935,0.166362,0.038134,0.030766,0
2021,1,2,11,0.174012,0.160217,0.037214,0.029346,0
2021,1,2,12,0.155747,0.153291,0.0369,0.028925,0
2021,1,2,13,0.146755,0.150362,0.037413,0.029411,0
2021,1,2,14,0.142612,0.147734,0.03755,0.029541,0
2021,1,2,15,0.142356,0.146487,0.037937,0.029914,0
2021,1,2,16,0.147171,0.146298,0.038347,0.030327,0
2021,1,2,17,0.155552,0.146828,0.038839,0.030833,0
2021,1,2,18,0.163601,0.147912,0.039535,0.031098,0
2021,1,2,19,0.177552,0.14997,0.040065,0.03196,0
2021,1,2,20,0.193183,0.152296,0.04049,0.032269,0
2021,1,2,21,0.200789,0.15427,0.040663,0.032251,0
