year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip 
2021,7,31,19,0.03541,0.007657,0.004382,0.004313,0
2021,7,31,20,0.051084,0.011156,0.004658,0.004496,0
2021,7,31,21,0.061544,0.014997,0.004973,0.00468,0
2021,7,31,22,0.070283,0.019306,0.005423,0.004996,0
2021,7,31,23,0.079987,0.024016,0.005949,0.005393,0
2021,8,1,0,0.092534,0.029456,0.006707,0.005987,0
2021,8,1,1,0.101087,0.035002,0.007166,0.006259,0
2021,8,1,2,0.109713,0.041189,0.007883,0.006816,0
2021,8,1,3,0.113287,0.047292,0.008124,0.006813,0
2021,8,1,4,0.114113,0.053471,0.00843,0.006881,0
2021,8,1,5,0.113948,0.059564,0.00862,0.006829,0
2021,8,1,6,0.11506,0.065722,0.009029,0.007022,0
2021,8,1,7,0.122672,0.072065,0.009463,0.007222,0
2021,8,1,8,0.124531,0.077778,0.0091,0.006509,0
2021,8,1,9,0.122762,0.082778,0.008876,0.005988,0
2021,8,1,10,0.117588,0.08634,0.008466,0.00529,0
2021,8,1,11,0.108017,0.086829,0.008207,0.004824,0
2021,8,1,12,0.092234,0.082878,0.008055,0.004586,0
2021,8,1,13,0.076534,0.076934,0.008043,0.004534,0
2021,8,1,14,0.065454,0.071211,0.008055,0.004529,0
2021,8,1,15,0.058205,0.066101,0.008068,0.004527,0
2021,8,1,16,0.054358,0.062129,0.008111,0.00455,0
2021,8,1,17,0.054971,0.060457,0.008243,0.004658,0
2021,8,1,18,0.078789,0.062418,0.008873,0.005223,0
2021,8,1,19,0.124411,0.06889,0.011855,0.008134,0
2021,8,1,20,0.591842,0.16103,0.016249,0.010439,0.0508
2021,8,1,21,0.306251,0.193869,0.01737,0.010484,0
2021,8,1,22,0.281618,0.217915,0.018411,0.01053,0
2021,8,1,23,0.592403,0.31697,0.024693,0.013249,0.0762
2021,8,2,0,0.592403,0.396384,0.027979,0.013383,0
2021,8,2,1,0.592403,0.449963,0.030902,0.01352,0
2021,8,2,2,0.599782,0.498839,0.039624,0.016569,0.1016
2021,8,2,3,0.599782,0.498839,0.045689,0.016885,0
2021,8,2,4,0.599782,0.498839,0.051482,0.017196,0
2021,8,2,5,0.599782,0.498839,0.056705,0.017517,0
2021,8,2,6,0.599782,0.498839,0.061473,0.017808,0
2021,8,2,7,0.599782,0.498839,0.065972,0.01811,0
2021,8,2,8,0.599782,0.498839,0.070378,0.018452,0
2021,8,2,9,0.30197,0.427118,0.07201,0.011733,0
