year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip
2022,3,31,19,0.069105,0.017717,0.012225,0.012166,0
2022,3,31,20,0.099172,0.021846,0.013061,0.012971,0
2022,3,31,21,0.119836,0.025416,0.013448,0.013212,0
2022,3,31,22,0.130835,0.029219,0.014063,0.013299,0
2022,3,31,23,0.136882,0.03284,0.014272,0.013785,0
2022,4,1,0,0.145264,0.037199,0.014762,0.014103,0
2022,4,1,1,0.155631,0.041685,0.015171,0.014361,0
2022,4,1,2,0.159523,0.045823,0.01526,0.014299,0
2022,4,1,3,0.166494,0.050535,0.015704,0.014573,0
2022,4,1,4,0.174919,0.055075,0.016029,0.014738,0
2022,4,1,5,0.178016,0.059331,0.016156,0.01471,0
2022,4,1,6,0.17966,0.063686,0.016381,0.014766,0
2022,4,1,7,0.175792,0.067164,0.016176,0.014412,0
2022,4,1,8,0.170584,0.069654,0.015752,0.013759,0
2022,4,1,9,0.162771,0.070599,0.014921,0.01279,0
2022,4,1,10,0.151088,0.069547,0.014141,0.011838,0
2022,4,1,11,0.13603,0.063829,0.01186,0.009992,0
2022,4,1,12,0.123602,0.066159,0.013174,0.010656,0
2022,4,1,13,0.111886,0.063778,0.011796,0.009954,0
2022,4,1,14,0.103276,0.062671,0.011764,0.009923,0
2022,4,1,15,0.096359,0.060676,0.011631,0.00981,0
2022,4,1,16,0.08975,0.061509,0.01159,0.009778,0
2022,4,1,17,0.08456,0.061118,0.011586,0.009792,0
2022,4,1,18,0.083838,0.064148,0.013504,0.011081,0
2022,4,1,19,0.092254,0.066874,0.01436,0.011987,0
2022,4,1,20,0.105587,0.069819,0.015189,0.012894,0
2022,4,1,21,0.119494,0.072761,0.015786,0.013384,0
2022,4,1,22,0.133089,0.076065,0.016589,0.013709,0
2022,4,1,23,0.145569,0.079372,0.016995,0.014419,0
2022,4,2,0,0.157819,0.082879,0.017432,0.014706,0
2022,4,2,1,0.168299,0.086169,0.017706,0.014843,0
2022,4,2,2,0.176059,0.089415,0.017993,0.014981,0
2022,4,2,3,0.181388,0.092618,0.018217,0.015045,0
2022,4,2,4,0.186224,0.095767,0.018449,0.015126,0
2022,4,2,5,0.188145,0.098917,0.018671,0.015196,0
2022,4,2,6,0.188606,0.102051,0.018838,0.015192,0
2022,4,2,7,0.189833,0.105194,0.019075,0.015262,0
2022,4,2,8,0.192842,0.107082,0.018658,0.014612,0
2022,4,2,9,0.187263,0.107987,0.018016,0.013767,0
2022,4,2,10,0.178436,0.109212,0.018065,0.013609,0
2022,4,2,11,0.173251,0.108879,0.017527,0.01285,0
2022,4,2,12,0.171228,0.107969,0.017182,0.01235,0
2022,4,2,13,0.164648,0.105765,0.016843,0.011915,0
2022,4,2,14,0.158347,0.103741,0.01665,0.011626,0
2022,4,2,15,0.145296,0.09881,0.014493,0.010488,0
2022,4,2,16,0.124554,0.092261,0.013924,0.009971,0
2022,4,2,17,0.109982,0.09137,0.013942,0.010011,0
2022,4,2,18,0.104644,0.093886,0.014481,0.010448,0
2022,4,2,19,0.111603,0.096772,0.017394,0.012433,0
2022,4,2,20,0.122239,0.098641,0.018133,0.013377,0
2022,4,2,21,0.146609,0.102408,0.019407,0.014584,0
2022,4,2,22,0.18312,0.10754,0.02079,0.015347,0
2022,4,2,23,0.208418,0.112182,0.020992,0.015996,0
2022,4,3,0,0.219923,0.1163,0.02122,0.016111,0
