year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip
2022,3,31,19,0.02632,0.01,0.01,0.01,0
2022,3,31,20,0.083717,0.010005,0.01,0.01,0
2022,3,31,21,0.111551,0.010024,0.01,0.01,0
2022,3,31,22,0.125389,0.010069,0.01,0.01,0
2022,3,31,23,0.133863,0.010155,0.01,0.01,0
2022,4,1,0,0.140298,0.010301,0.01,0.01,0
2022,4,1,1,0.150028,0.010512,0.01,0.01,0
2022,4,1,2,0.158143,0.01081,0.01,0.01,0
2022,4,1,3,0.162296,0.011244,0.01,0.01,0
2022,4,1,4,0.170638,0.011803,0.01,0.01,0
2022,4,1,5,0.176905,0.012555,0.01,0.01,0
2022,4,1,6,0.17877,0.013631,0.01,0.01,0
2022,4,1,7,0.178185,0.01524,0.01,0.01,0
2022,4,1,8,0.172743,0.017925,0.01,0.01,0
2022,4,1,9,0.166928,0.022132,0.01,0.01,0
2022,4,1,10,0.156438,0.028897,0.01,0.01,0
2022,4,1,11,0.142827,0.035004,0.01,0.01,0
2022,4,1,12,0.128873,0.050677,0.01,0.01,0
2022,4,1,13,0.117752,0.040041,0.01,0.01,0
2022,4,1,14,0.107635,0.04214,0.01,0.01,0
2022,4,1,15,0.100394,0.049995,0.01,0.01,0
2022,4,1,16,0.093492,0.056489,0.01,0.01,0
2022,4,1,17,0.087593,0.060684,0.01,0.01,0
2022,4,1,18,0.084661,0.062537,0.010001,0.01,0
2022,4,1,19,0.086513,0.067326,0.010002,0.01,0
2022,4,1,20,0.097476,0.068798,0.010003,0.01,0
2022,4,1,21,0.111735,0.068473,0.010004,0.01,0
2022,4,1,22,0.125719,0.068292,0.010005,0.01,0
2022,4,1,23,0.139229,0.068254,0.010006,0.01,0
2022,4,2,0,0.151293,0.068362,0.010006,0.01,0
2022,4,2,1,0.162978,0.068638,0.010007,0.01,0
2022,4,2,2,0.172159,0.069123,0.010008,0.01,0
2022,4,2,3,0.178828,0.069907,0.010009,0.01,0
2022,4,2,4,0.183725,0.071079,0.01001,0.01,0
2022,4,2,5,0.187485,0.072728,0.010011,0.01,0
2022,4,2,6,0.188399,0.07507,0.010012,0.01,0
2022,4,2,7,0.189167,0.078098,0.010013,0.01,0
2022,4,2,8,0.190894,0.081898,0.010014,0.01,0
2022,4,2,9,0.190562,0.086495,0.010016,0.01,0
2022,4,2,10,0.181757,0.09193,0.010018,0.01,0
2022,4,2,11,0.174991,0.097148,0.01002,0.01,0
2022,4,2,12,0.171784,0.101591,0.010023,0.01,0
2022,4,2,13,0.167705,0.096425,0.010026,0.01,0
2022,4,2,14,0.160082,0.099391,0.01003,0.01,0
2022,4,2,15,0.150604,0.096116,0.010033,0.01,0
2022,4,2,16,0.132273,0.099633,0.010005,0.01,0
2022,4,2,17,0.115844,0.099091,0.010005,0.01,0
2022,4,2,18,0.106976,0.100234,0.010038,0.01,0
2022,4,2,19,0.106773,0.101697,0.010044,0.01,0
2022,4,2,20,0.116836,0.102174,0.010052,0.01,0
2022,4,2,21,0.133878,0.102215,0.010059,0.01,0
2022,4,2,22,0.168059,0.102198,0.010064,0.01,0
2022,4,2,23,0.200226,0.102046,0.010067,0.01,0
2022,4,3,0,0.215565,0.102075,0.010071,0.01,0
2022,4,3,1,0.224792,0.101948,0.010074,0.01,0
2022,4,3,2,0.234503,0.102132,0.010078,0.01,0
2022,4,3,3,0.244265,0.104031,0.010081,0.01,0
2022,4,3,4,0.250719,0.106656,0.010085,0.01,0
2022,4,3,5,0.254185,0.109945,0.010088,0.01,0
2022,4,3,6,0.253123,0.113562,0.010092,0.01,0
2022,4,3,7,0.252792,0.11726,0.010096,0.01,0
2022,4,3,8,0.249322,0.121023,0.0101,0.01,0
2022,4,3,9,0.243446,0.12485,0.010105,0.01,0
2022,4,3,10,0.235273,0.122515,0.010111,0.01,0
2022,4,3,11,0.212987,0.124626,0.010116,0.01,0
2022,4,3,12,0.176766,0.123196,0.010022,0.01,0
2022,4,3,13,0.144323,0.124321,0.010022,0.01,0
2022,4,3,14,0.118639,0.126924,0.010023,0.01,0
2022,4,3,15,0.099626,0.125249,0.010024,0.01,0
2022,4,3,16,0.087189,0.122625,0.010026,0.01,0
2022,4,3,17,0.08067,0.120358,0.010145,0.01,0
2022,4,3,18,0.076568,0.117885,0.010163,0.01,0
2022,4,3,19,0.07724,0.115487,0.010187,0.01,0
2022,4,3,20,0.08493,0.11351,0.010213,0.01,0
2022,4,3,21,0.095889,0.112013,0.010236,0.01,0
2022,4,3,22,0.10995,0.113254,0.010255,0.01,0
2022,4,3,23,0.126476,0.113132,0.010272,0.01,0
2022,4,4,0,0.139647,0.113234,0.010287,0.01,0
2022,4,4,1,0.145019,0.113564,0.010302,0.01,0
2022,4,4,2,0.154825,0.112936,0.010316,0.01,0
2022,4,4,3,0.166613,0.112967,0.010329,0.01,0
2022,4,4,4,0.17819,0.112552,0.010341,0.01,0
2022,4,4,5,0.183565,0.112818,0.010353,0.01,0
2022,4,4,6,0.185221,0.114421,0.010365,0.01,0
2022,4,4,7,0.181866,0.11648,0.010379,0.01,0
2022,4,4,8,0.180765,0.118807,0.010394,0.01,0
2022,4,4,9,0.179632,0.121311,0.01041,0.01,0
2022,4,4,10,0.172539,0.123902,0.01043,0.01,0
2022,4,4,11,0.168363,0.126077,0.010453,0.01,0
2022,4,4,12,0.502543,0.127979,0.010461,0.01,0.254
2022,4,4,13,0.354814,0.143583,0.010492,0.01,0
2022,4,4,14,0.547879,0.153979,0.010505,0.01,0.254
2022,4,4,15,0.592224,0.183865,0.010509,0.01,3.048
2022,4,4,16,0.598662,0.216573,0.010512,0.01,0.254
2022,4,4,17,0.393467,0.224797,0.010543,0.01,0
2022,4,4,18,0.539008,0.24616,0.010554,0.01,0.508
2022,4,4,19,0.587653,0.265048,0.010557,0.01,0.254
