year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip
2022,3,31,19,0.099986,0.023361,0.013853,0.013751,0
2022,3,31,20,0.121074,0.030499,0.0153,0.015145,0
2022,3,31,21,0.131087,0.03665,0.01597,0.015561,0
2022,3,31,22,0.136487,0.043169,0.017035,0.015712,0
2022,3,31,23,0.139829,0.049331,0.017398,0.016554,0
2022,4,1,0,0.149396,0.05671,0.018246,0.017104,0
2022,4,1,1,0.160447,0.064248,0.018954,0.017552,0
2022,4,1,2,0.161044,0.071099,0.019108,0.017443,0
2022,4,1,3,0.169864,0.078805,0.019878,0.017919,0
2022,4,1,4,0.178611,0.08609,0.02044,0.018205,0
2022,4,1,5,0.1792,0.092682,0.02066,0.018155,0
2022,4,1,6,0.180426,0.099114,0.021049,0.018253,0
2022,4,1,7,0.173969,0.10354,0.020694,0.01764,0
2022,4,1,8,0.168706,0.10549,0.01996,0.016509,0
2022,4,1,9,0.159395,0.104076,0.018521,0.014831,0
2022,4,1,10,0.146645,0.09841,0.017169,0.013182,0
2022,4,1,11,0.13043,0.084199,0.01322,0.009985,0
2022,4,1,12,0.119141,0.08389,0.015495,0.011136,0
2022,4,1,13,0.107062,0.07622,0.013107,0.00992,0
2022,4,1,14,0.099572,0.071496,0.013053,0.009867,0
2022,4,1,15,0.092992,0.065865,0.012822,0.009671,0
2022,4,1,16,0.086616,0.065363,0.01275,0.009616,0
2022,4,1,17,0.081987,0.062966,0.012744,0.009641,0
2022,4,1,18,0.083429,0.06681,0.016064,0.011872,0
2022,4,1,19,0.096615,0.070571,0.017545,0.013441,0
2022,4,1,20,0.112495,0.075059,0.018978,0.015011,0
2022,4,1,21,0.126487,0.079714,0.020011,0.01586,0
2022,4,1,22,0.139691,0.085045,0.021398,0.016423,0
2022,4,1,23,0.151293,0.09039,0.022101,0.017652,0
2022,4,2,0,0.163505,0.096036,0.022856,0.018149,0
2022,4,2,1,0.173028,0.101227,0.023329,0.018386,0
2022,4,2,2,0.179541,0.10622,0.023825,0.018626,0
2022,4,2,3,0.183685,0.110952,0.024211,0.018736,0
2022,4,2,4,0.188364,0.115369,0.024611,0.018876,0
2022,4,2,5,0.188836,0.119548,0.024993,0.018997,0
2022,4,2,6,0.188805,0.123365,0.025282,0.01899,0
2022,4,2,7,0.190371,0.126928,0.025691,0.019111,0
2022,4,2,8,0.194377,0.128011,0.024967,0.017986,0
2022,4,2,9,0.184738,0.127061,0.023852,0.016524,0
2022,4,2,10,0.1756,0.126257,0.023935,0.016249,0
2022,4,2,11,0.171696,0.12272,0.023,0.014934,0
2022,4,2,12,0.1707,0.118283,0.022398,0.014069,0
2022,4,2,13,0.162184,0.111821,0.021807,0.013316,0
2022,4,2,14,0.156796,0.106252,0.021467,0.012816,0
2022,4,2,15,0.140966,0.096294,0.017729,0.010845,0
2022,4,2,16,0.118248,0.084291,0.016742,0.009949,0
2022,4,2,17,0.105049,0.082764,0.01677,0.010018,0
2022,4,2,18,0.102503,0.087468,0.017701,0.010775,0
2022,4,2,19,0.115132,0.092945,0.022738,0.014213,0
2022,4,2,20,0.126938,0.096621,0.024008,0.015847,0
2022,4,2,21,0.157275,0.103487,0.026207,0.017937,0
2022,4,2,22,0.196347,0.112559,0.028597,0.019259,0
2022,4,2,23,0.216088,0.120594,0.028942,0.020382,0
2022,4,3,0,0.223883,0.127484,0.029334,0.020583,0
2022,4,3,1,0.231858,0.133668,0.029787,0.020679,0
2022,4,3,2,0.244108,0.139829,0.030456,0.021057,0
2022,4,3,3,0.249113,0.144854,0.030685,0.020955,0
2022,4,3,4,0.25776,0.149684,0.031258,0.021179,0
2022,4,3,5,0.253204,0.15229,0.031068,0.020616,0
2022,4,3,6,0.253018,0.154511,0.031466,0.020758,0
2022,4,3,7,0.25169,0.155822,0.031571,0.02058,0
2022,4,3,8,0.244171,0.152508,0.03011,0.018613,0
2022,4,3,9,0.2384,0.148227,0.029064,0.017206,0
2022,4,3,10,0.227349,0.140372,0.027552,0.01523,0
2022,4,3,11,0.193604,0.124935,0.022182,0.011066,0
2022,4,3,12,0.157829,0.110752,0.020802,0.010665,0
2022,4,3,13,0.126752,0.103794,0.020537,0.010397,0
2022,4,3,14,0.10318,0.101621,0.020394,0.010266,0
2022,4,3,15,0.086101,0.099143,0.020247,0.010172,0
2022,4,3,16,0.078886,0.098494,0.020346,0.011197,0
2022,4,3,17,0.074515,0.098558,0.022975,0.012322,0
2022,4,3,18,0.074369,0.095783,0.025116,0.012792,0
2022,4,3,19,0.08414,0.097992,0.026385,0.014092,0
2022,4,3,20,0.095575,0.100498,0.027244,0.015174,0
2022,4,3,21,0.10916,0.103476,0.028257,0.016183,0
2022,4,3,22,0.12466,0.107285,0.029538,0.016971,0
2022,4,3,23,0.142203,0.111902,0.030546,0.018529,0
2022,4,4,0,0.143589,0.115167,0.030594,0.018272,0
2022,4,4,1,0.15264,0.119017,0.031374,0.018862,0
2022,4,4,2,0.164086,0.12295,0.032076,0.01939,0
2022,4,4,3,0.17884,0.127211,0.032839,0.019945,0
2022,4,4,4,0.183361,0.131038,0.033222,0.020055,0
2022,4,4,5,0.187713,0.134727,0.033637,0.02022,0
2022,4,4,6,0.182717,0.136857,0.033499,0.019735,0
2022,4,4,7,0.18018,0.13893,0.033911,0.019844,0
2022,4,4,8,0.181095,0.139256,0.033478,0.018975,0
2022,4,4,9,0.176759,0.138167,0.032701,0.017758,0
2022,4,4,10,0.16496,0.133389,0.031858,0.016396,0
2022,4,4,11,0.17791,0.133543,0.032374,0.016649,0
2022,4,4,12,0.571306,0.206509,0.037211,0.01924,0.254
2022,4,4,13,0.310637,0.16543,0.032259,0.015432,0
2022,4,4,14,0.584607,0.228679,0.036716,0.017831,0.254
2022,4,4,15,0.597672,0.283255,0.047125,0.026092,3.048
2022,4,4,16,0.599607,0.307976,0.05103,0.026937,0.254
2022,4,4,17,0.334663,0.248586,0.040625,0.016919,0
2022,4,4,18,0.581813,0.330922,0.048182,0.020947,0.508
2022,4,4,19,0.596341,0.379296,0.05023,0.021659,0.254
2022,4,4,20,0.327741,0.303395,0.043983,0.01793,0
2022,4,4,21,0.270883,0.276205,0.046909,0.020599,0
2022,4,4,22,0.253796,0.265087,0.047366,0.022064,0
2022,4,4,23,0.255094,0.259679,0.048338,0.022855,0
2022,4,5,0,0.263064,0.254588,0.048643,0.022795,0
2022,4,5,1,0.249379,0.247,0.048539,0.022119,0
2022,4,5,2,0.222845,0.235073,0.047877,0.020624,0
2022,4,5,3,0.202515,0.224642,0.047945,0.020385,0
2022,4,5,4,0.188197,0.215765,0.047996,0.020101,0
2022,4,5,5,0.178262,0.209002,0.048245,0.02007,0
2022,4,5,6,0.169539,0.202235,0.04826,0.019793,0
2022,4,5,7,0.16113,0.195613,0.048271,0.019518,0
2022,4,5,8,0.156451,0.188372,0.047985,0.018846,0
