year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip
2022,1,1,1,0.010002,0.01,0.01,0.01,0
2022,1,1,2,0.01001,0.01,0.01,0.01,0
2022,1,1,3,0.01002,0.01,0.01,0.01,0
2022,1,1,4,0.010029,0.01,0.01,0.01,0
2022,1,1,5,0.010038,0.009999,0.01,0.01,0
2022,1,1,6,0.010045,0.009998,0.01,0.01,0
2022,1,1,7,0.010052,0.009995,0.01,0.01,0
2022,1,1,8,0.010057,0.009992,0.01,0.01,0
2022,1,1,9,0.010062,0.009988,0.01,0.01,0
2022,1,1,10,0.010065,0.009983,0.01,0.01,0
2022,1,1,11,0.010069,0.009976,0.01,0.01,0
2022,1,1,12,0.010072,0.009967,0.01,0.01,0
2022,1,1,13,0.010074,0.009957,0.01,0.01,0
2022,1,1,14,0.010076,0.009945,0.01,0.01,0
2022,1,1,15,0.010078,0.009932,0.01,0.01,0
2022,1,1,16,0.010079,0.009917,0.01,0.01,0
2022,1,1,17,0.010081,0.0099,0.01,0.01,0
2022,1,1,18,0.010082,0.009882,0.01,0.01,0
2022,1,1,19,0.010083,0.009863,0.01,0.01,0
2022,1,1,20,0.010083,0.009842,0.01,0.01,0
2022,1,1,21,0.010084,0.00982,0.01,0.01,0
2022,1,1,22,0.010085,0.009797,0.01,0.01,0
2022,1,1,23,0.010085,0.009772,0.01,0.01,0
2022,1,2,0,0.010085,0.009746,0.01,0.01,0
2022,1,2,1,0.010086,0.00972,0.01,0.01,0
2022,1,2,2,0.010086,0.009692,0.01,0.01,0
2022,1,2,3,0.010086,0.009664,0.01,0.01,0
2022,1,2,4,0.010087,0.009635,0.01,0.01,0
2022,1,2,5,0.010087,0.009605,0.01,0.01,0
2022,1,2,6,0.010087,0.009574,0.01,0.01,0
2022,1,2,7,0.010087,0.009543,0.01,0.01,0
2022,1,2,8,0.010087,0.009512,0.01,0.01,0
2022,1,2,9,0.010087,0.00948,0.01,0.01,0
2022,1,2,10,0.010087,0.009447,0.01,0.01,0
2022,1,2,11,0.010087,0.009415,0.01,0.01,0
2022,1,2,12,0.010087,0.009382,0.01,0.01,0
2022,1,2,13,0.010088,0.009348,0.01,0.01,0
2022,1,2,14,0.010088,0.009315,0.01,0.01,0
2022,1,2,15,0.010088,0.009281,0.009999,0.01,0
2022,1,2,16,0.010088,0.009247,0.009999,0.01,0
2022,1,2,17,0.010088,0.009213,0.009999,0.01,0
2022,1,2,18,0.010088,0.009179,0.009999,0.01,0
2022,1,2,19,0.010088,0.009145,0.009999,0.01,0
2022,1,2,20,0.010088,0.009111,0.009999,0.01,0
2022,1,2,21,0.010088,0.009077,0.009999,0.01,0
2022,1,2,22,0.010088,0.009043,0.009999,0.01,0
2022,1,2,23,0.010088,0.009009,0.009999,0.01,0
2022,1,3,0,0.010088,0.008975,0.009999,0.01,0
2022,1,3,1,0.010088,0.008941,0.009999,0.01,0
2022,1,3,2,0.010088,0.008907,0.009998,0.01,0
2022,1,3,3,0.010088,0.008873,0.009998,0.01,0
2022,1,3,4,0.010088,0.008839,0.009998,0.01,0
2022,1,3,5,0.010088,0.008806,0.009998,0.01,0
2022,1,3,6,0.010088,0.008773,0.009998,0.01,0
2022,1,3,7,0.010088,0.008739,0.009998,0.01,0
2022,1,3,8,0.010088,0.008706,0.009997,0.01,0
2022,1,3,9,0.010088,0.008673,0.009997,0.01,0
2022,1,3,10,0.010088,0.008641,0.009997,0.01,0
2022,1,3,11,0.010088,0.008608,0.009997,0.01,0
2022,1,3,12,0.010088,0.008576,0.009997,0.01,0
2022,1,3,13,0.010088,0.008544,0.009996,0.01,0
2022,1,3,14,0.010088,0.008512,0.009996,0.01,0
2022,1,3,15,0.010088,0.00848,0.009996,0.01,0
2022,1,3,16,0.010088,0.008449,0.009996,0.01,0
2022,1,3,17,0.010088,0.008417,0.009995,0.01,0
2022,1,3,18,0.010088,0.008386,0.009995,0.01,0
2022,1,3,19,0.010088,0.008355,0.009995,0.01,0
2022,1,3,20,0.010088,0.008325,0.009994,0.01,0
2022,1,3,21,0.010088,0.008294,0.009994,0.01,0
2022,1,3,22,0.010088,0.008264,0.009994,0.01,0
2022,1,3,23,0.010088,0.008234,0.009993,0.01,0
2022,1,4,0,0.010088,0.008204,0.009993,0.01,0
2022,1,4,1,0.010088,0.008174,0.009993,0.01,0
2022,1,4,2,0.010088,0.008145,0.009992,0.01,0
2022,1,4,3,0.010088,0.008116,0.009992,0.01,0
2022,1,4,4,0.010088,0.008087,0.009991,0.01,0
2022,1,4,5,0.010088,0.008058,0.009991,0.01,0
2022,1,4,6,0.010088,0.00803,0.009991,0.01,0
2022,1,4,7,0.010088,0.008002,0.00999,0.01,0
2022,1,4,8,0.010088,0.007974,0.00999,0.01,0
2022,1,4,9,0.010088,0.007946,0.009989,0.01,0
2022,1,4,10,0.010088,0.007918,0.009989,0.01,0
2022,1,4,11,0.010088,0.007891,0.009988,0.01,0
2022,1,4,12,0.010088,0.007864,0.009987,0.01,0
