year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip
2022,1,1,1,0.010042,0.009046,0.009128,0.009127,0
2022,1,1,2,0.010055,0.008903,0.00911,0.009125,0
2022,1,1,3,0.010063,0.008772,0.009093,0.009123,0
2022,1,1,4,0.010068,0.008649,0.009075,0.009122,0
2022,1,1,5,0.010071,0.008534,0.009058,0.00912,0
2022,1,1,6,0.010074,0.008426,0.009041,0.009118,0
2022,1,1,7,0.010076,0.008325,0.009024,0.009116,0
2022,1,1,8,0.010078,0.008229,0.009007,0.009114,0
2022,1,1,9,0.01008,0.008139,0.00899,0.009113,0
2022,1,1,10,0.010081,0.008054,0.008973,0.009111,0
2022,1,1,11,0.010082,0.007972,0.008957,0.009109,0
2022,1,1,12,0.010083,0.007895,0.008941,0.009108,0
2022,1,1,13,0.010084,0.007822,0.008925,0.009106,0
2022,1,1,14,0.010084,0.007752,0.008909,0.009104,0
2022,1,1,15,0.010085,0.007685,0.008893,0.009102,0
2022,1,1,16,0.010085,0.007622,0.008877,0.009101,0
2022,1,1,17,0.010086,0.007561,0.008861,0.009099,0
2022,1,1,18,0.010086,0.007502,0.008846,0.009097,0
2022,1,1,19,0.010086,0.007446,0.008831,0.009095,0
2022,1,1,20,0.010086,0.007393,0.008816,0.009094,0
2022,1,1,21,0.010087,0.007341,0.008801,0.009092,0
2022,1,1,22,0.010087,0.007292,0.008786,0.00909,0
2022,1,1,23,0.010087,0.007244,0.008771,0.009088,0
2022,1,2,0,0.010087,0.007198,0.008756,0.009087,0
2022,1,2,1,0.010087,0.007154,0.008742,0.009085,0
2022,1,2,2,0.010087,0.007111,0.008727,0.009083,0
2022,1,2,3,0.010087,0.00707,0.008713,0.009082,0
2022,1,2,4,0.010087,0.00703,0.008699,0.00908,0
2022,1,2,5,0.010087,0.006992,0.008684,0.009078,0
2022,1,2,6,0.010088,0.006955,0.00867,0.009076,0
2022,1,2,7,0.010088,0.006919,0.008657,0.009075,0
