year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip
2022,6,1,19,0.073506,0.018,0.012177,0.012095,0
2022,6,1,20,0.108876,0.023492,0.01293,0.012747,0
2022,6,1,21,0.133975,0.030475,0.014372,0.013983,0
2022,6,1,22,0.156273,0.039021,0.015862,0.015243,0
2022,6,1,23,0.170263,0.048896,0.017131,0.016403,0
2022,6,2,0,0.173541,0.059342,0.017244,0.016432,0
2022,6,2,1,0.178908,0.070413,0.017985,0.017282,0
2022,6,2,2,0.187045,0.08165,0.018599,0.019252,0
2022,6,2,3,0.194132,0.092815,0.018912,0.012962,0
2022,6,2,4,0.205187,0.105099,0.022111,0.01251,0
2022,6,2,5,0.211676,0.117419,0.016527,0.012505,0
2022,6,2,6,0.222978,0.127384,0.023828,0.0229,0
2022,6,2,7,0.23362,0.136652,0.01831,0.021078,0
2022,6,2,8,0.221686,0.142417,0.0187,0.015109,0
2022,6,2,9,0.189491,0.139389,0.016751,0.012331,0
2022,6,2,10,0.155498,0.133727,0.01657,0.01198,0
2022,6,2,11,0.128903,0.124416,0.016372,0.011711,0
2022,6,2,12,0.106626,0.113698,0.014872,0.011335,0
2022,6,2,13,0.090405,0.105485,0.01557,0.011621,0
2022,6,2,14,0.080555,0.097963,0.015051,0.011575,0
2022,6,2,15,0.07449,0.091734,0.015307,0.011612,0
2022,6,2,16,0.075325,0.090028,0.015994,0.012012,0
2022,6,2,17,0.074639,0.086177,0.015769,0.011756,0
2022,6,2,18,0.075611,0.083471,0.015902,0.011863,0
2022,6,2,19,0.081448,0.082829,0.016156,0.012096,0
2022,6,2,20,0.09035,0.084037,0.016814,0.012779,0
2022,6,2,21,0.111124,0.087271,0.017951,0.013863,0
2022,6,2,22,0.139431,0.092316,0.019325,0.015216,0
2022,6,2,23,0.161915,0.098578,0.020777,0.016682,0
2022,6,3,0,0.173692,0.105707,0.021358,0.017206,0
2022,6,3,1,0.178224,0.112962,0.021724,0.018238,0
2022,6,3,2,0.567984,0.202995,0.027504,0.021472,1.778
2022,6,3,3,0.597194,0.271616,0.029598,0.022013,0.254
2022,6,3,4,0.335818,0.319828,0.031337,0.022179,0
2022,6,3,5,0.316688,0.355454,0.032931,0.022359,0
2022,6,3,6,0.316388,0.381775,0.034435,0.022526,0
2022,6,3,7,0.31574,0.402118,0.03588,0.022693,0
2022,6,3,8,0.315017,0.418505,0.037349,0.022885,0
2022,6,3,9,0.296486,0.381004,0.035108,0.022096,0
2022,6,3,10,0.265864,0.358503,0.035404,0.017684,0
2022,6,3,11,0.239934,0.332036,0.035526,0.015717,0
2022,6,3,12,0.206447,0.298087,0.035388,0.014321,0
2022,6,3,13,0.170356,0.260537,0.03342,0.013894,0
2022,6,3,14,0.144636,0.22819,0.033417,0.013887,0
2022,6,3,15,0.592226,0.309498,0.038225,0.016245,0.508
2022,6,3,16,0.270651,0.267584,0.033292,0.013816,0
2022,6,3,17,0.192107,0.232815,0.032934,0.013793,0
2022,6,3,18,0.145992,0.206048,0.034605,0.013997,0
2022,6,3,19,0.591984,0.293713,0.040026,0.016674,0.762
2022,6,3,20,0.599663,0.363364,0.049023,0.023209,3.81
2022,6,3,21,0.332211,0.361974,0.052813,0.023397,0
2022,6,3,22,0.580314,0.398321,0.059665,0.025233,0.254
2022,6,3,23,0.331886,0.428843,0.064074,0.02551,0
2022,6,4,0,0.576906,0.47416,0.071461,0.027385,0.254
2022,6,4,1,0.335906,0.47416,0.076593,0.027706,0
2022,6,4,2,0.319015,0.47416,0.081236,0.028042,0
2022,6,4,3,0.318442,0.47416,0.085428,0.028335,0
2022,6,4,4,0.318403,0.47416,0.089293,0.028618,0
2022,6,4,5,0.318398,0.47416,0.092968,0.028922,0
2022,6,4,6,0.318397,0.47416,0.096572,0.029205,0
2022,6,4,7,0.320899,0.47416,0.100153,0.029497,0
2022,6,4,8,0.315706,0.439387,0.100631,0.020246,0
2022,6,4,9,0.296526,0.402396,0.102416,0.022361,0
2022,6,4,10,0.263939,0.372817,0.102206,0.020718,0
2022,6,4,11,0.236923,0.343595,0.103597,0.020633,0
2022,6,4,12,0.578488,0.397655,0.110769,0.023006,0.508
2022,6,4,13,0.598791,0.441849,0.115836,0.02346,0.254
2022,6,4,14,0.599936,0.470583,0.121297,0.023981,0.254
2022,6,4,15,0.599997,0.491093,0.126632,0.024472,0.254
2022,6,4,16,0.6,0.506407,0.132119,0.024985,0.254
2022,6,4,17,0.315981,0.430467,0.127826,0.020946,0
2022,6,4,18,0.256564,0.388049,0.127529,0.020748,0
2022,6,4,19,0.229934,0.357485,0.130828,0.021881,0
2022,6,4,20,0.219629,0.334566,0.132402,0.022038,0
2022,6,4,21,0.220085,0.320461,0.134183,0.023403,0
