year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip
2022,6,1,19,0.090492,0.023102,0.013038,0.012896,0
2022,6,1,20,0.116008,0.032471,0.014342,0.014025,0
2022,6,1,21,0.138484,0.044274,0.016839,0.016165,0
2022,6,1,22,0.160398,0.058718,0.01942,0.018348,0
2022,6,1,23,0.172262,0.075351,0.021616,0.020355,0
2022,6,2,0,0.17361,0.092592,0.021813,0.020405,0
2022,6,2,1,0.180407,0.109469,0.023095,0.021877,0
2022,6,2,2,0.188598,0.123927,0.024159,0.02529,0
2022,6,2,3,0.195478,0.135842,0.024699,0.014397,0
2022,6,2,4,0.207675,0.147804,0.030239,0.013614,0
2022,6,2,5,0.212416,0.158701,0.020571,0.013606,0
2022,6,2,6,0.226249,0.16432,0.033213,0.031606,0
2022,6,2,7,0.235205,0.169398,0.023658,0.028451,0
2022,6,2,8,0.21853,0.167742,0.024333,0.018116,0
2022,6,2,9,0.18428,0.149162,0.020957,0.013305,0
2022,6,2,10,0.151063,0.130987,0.020643,0.012698,0
2022,6,2,11,0.125203,0.115802,0.020296,0.012231,0
2022,6,2,12,0.102886,0.102397,0.017691,0.011579,0
2022,6,2,13,0.087591,0.094456,0.018888,0.012075,0
2022,6,2,14,0.078589,0.087203,0.017971,0.011995,0
2022,6,2,15,0.073161,0.081627,0.018389,0.01206,0
2022,6,2,16,0.076307,0.082639,0.019537,0.012753,0
2022,6,2,17,0.07411,0.078718,0.019107,0.012309,0
2022,6,2,18,0.076426,0.076945,0.019292,0.012494,0
2022,6,2,19,0.083071,0.078035,0.019682,0.012897,0
2022,6,2,20,0.09289,0.081521,0.020778,0.01408,0
2022,6,2,21,0.116902,0.087851,0.022716,0.015958,0
2022,6,2,22,0.145469,0.09678,0.025076,0.0183,0
2022,6,2,23,0.165794,0.107315,0.02758,0.020839,0
2022,6,3,0,0.175219,0.118681,0.028581,0.021746,0
2022,6,3,1,0.178859,0.129105,0.02921,0.023533,0
2022,6,3,2,0.585076,0.279486,0.039217,0.029134,1.778
2022,6,3,3,0.598695,0.359039,0.042842,0.03007,0.254
2022,6,3,4,0.322492,0.392655,0.045852,0.030357,0
2022,6,3,5,0.316084,0.413342,0.04861,0.030669,0
2022,6,3,6,0.316443,0.427925,0.051214,0.030958,0
2022,6,3,7,0.315698,0.438887,0.053714,0.031248,0
2022,6,3,8,0.314997,0.447218,0.056257,0.03158,0
2022,6,3,9,0.292805,0.370085,0.052373,0.030214,0
2022,6,3,10,0.261867,0.337158,0.052877,0.022574,0
2022,6,3,11,0.237023,0.305932,0.053072,0.019168,0
2022,6,3,12,0.202052,0.26944,0.052795,0.016751,0
2022,6,3,13,0.166542,0.236026,0.049312,0.016011,0
2022,6,3,14,0.141901,0.20916,0.049164,0.015999,0
2022,6,3,15,0.596382,0.348943,0.057416,0.020083,0.508
2022,6,3,16,0.26282,0.257315,0.048642,0.015876,0
2022,6,3,17,0.186893,0.217136,0.047662,0.015836,0
2022,6,3,18,0.14209,0.191735,0.050083,0.016188,0
2022,6,3,19,0.596219,0.340237,0.059293,0.020825,0.762
2022,6,3,20,0.59984,0.421795,0.074814,0.03214,3.81
2022,6,3,21,0.321702,0.38586,0.081342,0.032465,0
2022,6,3,22,0.590821,0.432259,0.093178,0.035646,0.254
2022,6,3,23,0.320632,0.466944,0.100787,0.036125,0
2022,6,4,0,0.58923,0.524777,0.113554,0.039371,0.254
2022,6,4,1,0.320922,0.524777,0.122414,0.039927,0
2022,6,4,2,0.318269,0.524777,0.130422,0.040509,0
2022,6,4,3,0.318418,0.524777,0.137638,0.041017,0
2022,6,4,4,0.3184,0.524777,0.144265,0.041507,0
2022,6,4,5,0.318398,0.524777,0.150516,0.042033,0
2022,6,4,6,0.318397,0.524777,0.156555,0.042524,0
2022,6,4,7,0.321573,0.524777,0.162382,0.043029,0
2022,6,4,8,0.315224,0.452134,0.162524,0.02701,0
2022,6,4,9,0.293,0.381091,0.164292,0.030673,0
2022,6,4,10,0.259273,0.342245,0.161695,0.027828,0
2022,6,4,11,0.233928,0.311682,0.160952,0.027679,0
2022,6,4,12,0.589993,0.420225,0.169967,0.031789,0.508
2022,6,4,13,0.59944,0.478289,0.1749,0.032576,0.254
2022,6,4,14,0.59997,0.499476,0.179717,0.033478,0.254
2022,6,4,15,0.599998,0.512701,0.184102,0.034328,0.254
2022,6,4,16,0.6,0.522033,0.188494,0.035216,0.254
2022,6,4,17,0.305734,0.392619,0.176144,0.028223,0
2022,6,4,18,0.250939,0.347862,0.171078,0.027879,0
2022,6,4,19,0.228296,0.324352,0.172548,0.02984,0
2022,6,4,20,0.218116,0.306824,0.171768,0.030114,0
2022,6,4,21,0.221749,0.30001,0.171862,0.032476,0
2022,6,4,22,0.250359,0.308495,0.171832,0.033523,0
2022,6,4,23,0.270379,0.312477,0.171752,0.033597,0
2022,6,5,0,0.269476,0.31427,0.171694,0.033656,0
2022,6,5,1,0.268364,0.315597,0.171673,0.033712,0
2022,6,5,2,0.286936,0.31641,0.171674,0.033768,0
2022,6,5,3,0.310259,0.316675,0.171693,0.033817,0
2022,6,5,4,0.306141,0.316765,0.171726,0.033865,0
2022,6,5,5,0.317555,0.316792,0.171771,0.033917,0
2022,6,5,6,0.58164,0.385906,0.177563,0.036796,0.254
2022,6,5,7,0.332388,0.339281,0.17341,0.032348,0
2022,6,5,8,0.287354,0.304115,0.17036,0.030142,0
2022,6,5,9,0.252364,0.279133,0.17052,0.030428,0
2022,6,5,10,0.230444,0.260755,0.167699,0.029903,0
2022,6,5,11,0.587755,0.368901,0.175214,0.033901,0.508
2022,6,5,12,0.313984,0.305728,0.168712,0.03016,0
2022,6,5,13,0.252879,0.26752,0.161075,0.028534,0
2022,6,5,14,0.208808,0.238312,0.154746,0.028042,0
2022,6,5,15,0.177359,0.216265,0.150359,0.028023,0
2022,6,5,16,0.158929,0.198035,0.145383,0.027848,0
2022,6,5,17,0.592894,0.282647,0.147893,0.03057,0.254
2022,6,5,18,0.285803,0.226555,0.141608,0.02816,0
2022,6,5,19,0.231897,0.213999,0.146037,0.030789,0
2022,6,5,20,0.216237,0.219057,0.147402,0.034111,0
2022,6,5,21,0.220667,0.228125,0.14821,0.034272,0
2022,6,5,22,0.587514,0.365757,0.158809,0.039251,1.016
2022,6,5,23,0.326543,0.434778,0.162195,0.039446,0
2022,6,6,0,0.5882,0.49824,0.175688,0.044712,1.524
2022,6,6,1,0.59862,0.525616,0.185171,0.047848,1.016
2022,6,6,2,0.599838,0.542907,0.192489,0.049137,0.254
2022,6,6,3,0.330555,0.542907,0.19872,0.049678,0
2022,6,6,4,0.319962,0.542907,0.204119,0.050206,0
2022,6,6,5,0.318989,0.542907,0.20882,0.050761,0
2022,6,6,6,0.319461,0.542907,0.213158,0.051277,0
2022,6,6,7,0.320889,0.542907,0.217096,0.051797,0
2022,6,6,8,0.314637,0.438366,0.210556,0.037779,0
2022,6,6,9,0.281907,0.375799,0.203111,0.036967,0
2022,6,6,10,0.250405,0.337316,0.197046,0.03624,0
2022,6,6,11,0.213635,0.299361,0.187756,0.035251,0
2022,6,6,12,0.181905,0.263974,0.176736,0.034572,0
2022,6,6,13,0.162083,0.237474,0.169565,0.034629,0
2022,6,6,14,0.590667,0.390985,0.175835,0.041831,5.08
2022,6,6,15,0.599621,0.468477,0.176702,0.042869,0.254
2022,6,6,16,0.292467,0.340005,0.160433,0.03545,0
2022,6,6,17,0.5929,0.472114,0.16714,0.040475,1.016
2022,6,6,18,0.290365,0.349757,0.151454,0.035268,0
2022,6,6,19,0.593307,0.449733,0.155974,0.039407,0.508
2022,6,6,20,0.320701,0.36449,0.159133,0.038555,0
2022,6,6,21,0.285077,0.340992,0.160321,0.040341,0
2022,6,6,22,0.280931,0.334952,0.161538,0.041746,0
2022,6,6,23,0.275841,0.33307,0.16232,0.04202,0
2022,6,7,0,0.269952,0.331701,0.163013,0.04209,0
2022,6,7,1,0.275362,0.331128,0.163428,0.042159,0
2022,6,7,2,0.280162,0.327679,0.163776,0.042232,0
2022,6,7,3,0.280971,0.32677,0.164082,0.042299,0
2022,6,7,4,0.27682,0.324861,0.165094,0.042601,0
2022,6,7,5,0.296426,0.324831,0.165655,0.043552,0
