Lat,Lon,Date
47.742271,-114.696678,2021-01-06
45.853634,-113.228485,2021-01-15
45.853386,-113.22287,2021-01-15
45.848087,-113.222748,2021-01-15
45.851379,-113.223839,2021-01-15
45.850395,-113.220345,2021-01-15
47.259068,-114.853104,2021-03-09
46.382027,-114.184837,2021-03-14
46.26284,-114.183968,2021-03-14
46.908009,-113.157333,2021-03-16
46.908188,-113.158531,2021-03-16
46.904644,-113.157875,2021-03-17
46.908768,-113.161697,2021-03-17
46.907909,-113.156639,2021-03-17
46.952942,-113.941704,2021-03-18
46.953625,-113.934631,2021-03-18
46.943943,-113.953606,2021-03-18
46.952549,-113.940231,2021-03-18
46.956726,-113.943192,2021-03-18
46.329136,-114.125984,2021-04-01
46.324829,-114.123726,2021-04-01
46.833817,-113.935982,2021-04-01
46.836555,-113.944214,2021-04-01
47.549843,-114.104111,2021-04-02
46.072029,-114.219627,2021-04-03
46.070164,-114.217934,2021-04-03
46.068951,-114.237549,2021-04-04
46.071117,-114.222656,2021-04-04
46.06823,-114.242508,2021-04-04
46.069672,-114.23259,2021-04-04
46.070393,-114.227631,2021-04-04
46.987049,-114.185059,2021-04-04
46.52739,-114.06456,2021-04-06
47.286972,-114.330963,2021-04-06
47.283096,-114.328537,2021-04-06
47.285835,-114.335808,2021-04-06
46.148438,-113.376274,2021-04-06
47.387589,-115.095024,2021-04-06
47.286751,-114.333,2021-04-06
47.2859,-114.330368,2021-04-06
47.38652,-115.096817,2021-04-06
47.28212,-114.328369,2021-04-07
47.394333,-114.722549,2021-04-07
46.125072,-114.166214,2021-04-07
47.317753,-114.416954,2021-04-07
47.317303,-114.426414,2021-04-07
47.317974,-114.412384,2021-04-07
47.317532,-114.421623,2021-04-07
47.323311,-114.408157,2021-04-07
47.448318,-114.90136,2021-04-09
47.393009,-115.096199,2021-04-15
46.579384,-114.133675,2021-04-16
46.575779,-114.132278,2021-04-16
46.585392,-114.123222,2021-04-16
46.761555,-113.721992,2021-04-16
46.597382,-114.121521,2021-04-16
46.593788,-114.120094,2021-04-16
47.219585,-114.244919,2021-04-16
47.361618,-114.787025,2021-04-17
45.887272,-114.209221,2021-04-17
45.888794,-114.203232,2021-04-17
46.916325,-113.732559,2021-04-17
47.010612,-113.12426,2021-04-17
47.070034,-113.270386,2021-04-17
47.067276,-113.262726,2021-04-17
46.975208,-113.549171,2021-04-17
45.891621,-114.202896,2021-04-17
46.910366,-114.507034,2021-04-17
46.91935,-113.73008,2021-04-17
46.913273,-113.728706,2021-04-17
46.971287,-113.545029,2021-04-17
46.975658,-113.555244,2021-04-17
46.971176,-113.551819,2021-04-17
46.965061,-113.550163,2021-04-17
46.971069,-113.558235,2021-04-17
46.975731,-113.548843,2021-04-17
46.969601,-113.547371,2021-04-17
46.969524,-113.554085,2021-04-17
47.069839,-113.269005,2021-04-17
47.063618,-113.268684,2021-04-17
47.381641,-115.083862,2021-04-17
47.38176,-115.079109,2021-04-17
46.909245,-114.512634,2021-04-18
46.907684,-114.502693,2021-04-18
46.908466,-114.50766,2021-04-18
46.8923,-114.492149,2021-04-18
46.895557,-114.491051,2021-04-18
46.893082,-114.497116,2021-04-18
46.894779,-114.486076,2021-04-18
46.894596,-114.490036,2021-04-18
46.89064,-114.482689,2021-04-18
46.889301,-114.487122,2021-04-18
46.048225,-114.229126,2021-04-18
46.070469,-114.238251,2021-04-18
46.071991,-114.233231,2021-04-18
46.89175,-114.499428,2021-04-18
46.893238,-114.494522,2021-04-18
46.890308,-114.504204,2021-04-18
46.895832,-114.485954,2021-04-18
46.045609,-114.231918,2021-04-18
47.389698,-115.093636,2021-04-18
46.046104,-114.224052,2021-04-18
46.0508,-114.224846,2021-04-18
46.614193,-114.138054,2021-04-29
46.611282,-114.135063,2021-04-29
47.600307,-113.74865,2021-04-29
46.047939,-114.234558,2021-04-30
46.044415,-114.233704,2021-04-30
45.820927,-114.270065,2021-05-05
46.52507,-113.898407,2021-05-05
47.146259,-114.502914,2021-05-05
47.139194,-115.038086,2021-05-05
47.149998,-114.503922,2021-05-05
47.145584,-114.509483,2021-05-05
47.149326,-114.510513,2021-05-05
46.527393,-113.879402,2021-05-06
47.15884,-114.47686,2021-05-06
46.531414,-113.875252,2021-05-06
47.136562,-114.41729,2021-05-06
46.716068,-113.271729,2021-05-06
47.135834,-114.422333,2021-05-06
46.996159,-113.70401,2021-05-06
46.998756,-113.710175,2021-05-06
46.995441,-113.709198,2021-05-06
47.162857,-114.472862,2021-05-06
47.162121,-114.477921,2021-05-06
45.889313,-114.212883,2021-05-13
45.890312,-114.208382,2021-05-13
45.886417,-114.206841,2021-05-13
45.890163,-114.204216,2021-05-13
47.527206,-113.648972,2021-05-13
45.890224,-114.21579,2021-05-13
45.827141,-114.263229,2021-05-14
45.826843,-114.27124,2021-05-14
46.525784,-113.883537,2021-05-14
47.075493,-114.475128,2021-05-15
47.076397,-114.465927,2021-05-15
47.075966,-114.46862,2021-05-15
47.080799,-114.466042,2021-05-15
47.075882,-114.472488,2021-05-15
47.07645,-114.461929,2021-05-15
47.080284,-114.472534,2021-05-15
47.079891,-114.475113,2021-05-15
47.08036,-114.468719,2021-05-15
47.080841,-114.46209,2021-05-15
47.146271,-113.446823,2021-05-17
47.14777,-113.436813,2021-05-17
47.147022,-113.441818,2021-05-17
47.143002,-113.445778,2021-05-17
46.52285,-113.889282,2021-05-17
46.519592,-113.888199,2021-05-17
47.150295,-113.442848,2021-05-17
47.151043,-113.437843,2021-05-17
46.564659,-113.83857,2021-05-18
45.822556,-114.27169,2021-05-18
45.826324,-114.272606,2021-05-18
45.821346,-114.277519,2021-05-18
47.664345,-114.192184,2021-05-26
47.665516,-114.190628,2021-05-26
47.662605,-114.193138,2021-05-26
47.664722,-114.192673,2021-05-27
46.95134,-114.184135,2021-05-30
47.342216,-114.647484,2021-06-05
47.640102,-114.116386,2021-06-16
47.640175,-114.117287,2021-06-17
47.641609,-114.117516,2021-06-17
47.639751,-114.115654,2021-06-18
47.642838,-114.114372,2021-06-18
46.904438,-114.019562,2021-06-26
46.902683,-114.019676,2021-06-27
47.344753,-114.802887,2021-07-08
47.346348,-114.801796,2021-07-08
47.359421,-114.68158,2021-07-08
47.269188,-114.766563,2021-07-08
47.123539,-114.659737,2021-07-08
47.124908,-114.63839,2021-07-08
47.126343,-114.651268,2021-07-08
47.127102,-114.658112,2021-07-08
46.472248,-114.534004,2021-07-08
46.47583,-114.533028,2021-07-08
46.470684,-114.520271,2021-07-08
47.300732,-115.001808,2021-07-08
47.122322,-114.64669,2021-07-08
47.126652,-114.637009,2021-07-08
47.125038,-114.654083,2021-07-08
47.127327,-114.660301,2021-07-08
47.129868,-114.645775,2021-07-08
46.475723,-114.530632,2021-07-08
47.354836,-114.681488,2021-07-08
47.358952,-114.682648,2021-07-08
47.355927,-114.691116,2021-07-08
46.473984,-114.529068,2021-07-08
46.474579,-114.523338,2021-07-08
46.470814,-114.522728,2021-07-08
46.613319,-113.577827,2021-07-08
46.613953,-113.571327,2021-07-08
46.609371,-113.577431,2021-07-08
46.612553,-113.5784,2021-07-08
46.613171,-113.571838,2021-07-08
46.609619,-114.695023,2021-07-08
46.608974,-114.699791,2021-07-08
47.123783,-114.639206,2021-07-08
47.121899,-114.657387,2021-07-08
47.356346,-114.68576,2021-07-08
47.344418,-114.798965,2021-07-08
47.358185,-114.691467,2021-07-09
47.126385,-114.65773,2021-07-09
47.121994,-114.660324,2021-07-09
47.12603,-114.658607,2021-07-09
47.121658,-114.661148,2021-07-09
46.471443,-114.51722,2021-07-09
46.471973,-114.524071,2021-07-09
46.472691,-114.533356,2021-07-09
46.613724,-113.571014,2021-07-09
46.474701,-114.534401,2021-07-09
46.47644,-114.523552,2021-07-09
46.615837,-113.572594,2021-07-09
46.477139,-114.532562,2021-07-09
46.474045,-114.52504,2021-07-09
46.469578,-114.525536,2021-07-09
46.473537,-114.517838,2021-07-09
46.474823,-114.529846,2021-07-09
46.475533,-114.524963,2021-07-09
46.47224,-114.524002,2021-07-09
46.468952,-114.523033,2021-07-09
46.472965,-114.519058,2021-07-09
46.605732,-113.563423,2021-07-09
46.469685,-114.518059,2021-07-09
46.47625,-114.520042,2021-07-09
46.474125,-114.534698,2021-07-09
46.470833,-114.533737,2021-07-09
46.471535,-114.528885,2021-07-09
46.476639,-114.533348,2021-07-09
46.477356,-114.528503,2021-07-09
46.478073,-114.523605,2021-07-09
46.612885,-114.698059,2021-07-09
46.634457,-114.66803,2021-07-09
47.12495,-114.655449,2021-07-09
47.125675,-114.650505,2021-07-09
47.124233,-114.66037,2021-07-09
47.128952,-114.651581,2021-07-09
47.128231,-114.656525,2021-07-09
47.3554,-114.683372,2021-07-09
47.352863,-114.677116,2021-07-09
47.357765,-114.692551,2021-07-10
46.637775,-114.666565,2021-07-10
46.645172,-114.653046,2021-07-10
46.634052,-114.661087,2021-07-10
46.64534,-114.658676,2021-07-10
46.639874,-114.665833,2021-07-10
46.634232,-114.667114,2021-07-10
46.639534,-114.654396,2021-07-10
46.639706,-114.660049,2021-07-10
46.637394,-114.655411,2021-07-10
46.637577,-114.660736,2021-07-10
46.632145,-114.667824,2021-07-10
46.472347,-114.517769,2021-07-10
46.472561,-114.524185,2021-07-10
46.472919,-114.535187,2021-07-10
46.472168,-114.512482,2021-07-10
46.466923,-114.524055,2021-07-10
46.467247,-114.533989,2021-07-10
47.127716,-114.655067,2021-07-10
47.125317,-114.654427,2021-07-10
47.129189,-114.660637,2021-07-10
47.126793,-114.66011,2021-07-10
47.124378,-114.661621,2021-07-10
46.641609,-114.658752,2021-07-10
46.646252,-114.656883,2021-07-10
46.469318,-114.535347,2021-07-10
46.475658,-114.520142,2021-07-10
46.469265,-114.515594,2021-07-10
46.477215,-114.525993,2021-07-10
46.473759,-114.512947,2021-07-10
